Task_name,Participant#,Runtime_mod,Absorption_response,Other_response,Problem_response,Modality_response,Past_response,Distracting_response,Focus_response,Intrusive_response,Deliberate_response,Detailed_response,Future_response,Emotion_response,Self_response,Knowledge_response,Gradient1,Gradient2,Gradient3,FAC1_1,FAC2_1,FAC3_1,FAC4_1
One-Back Task,subject004,9,4,6.6,7.4,7.7,3.1,2.8,6.9,1.5,2.8,4.8,6,5.4,3,2,-0.009917203,-0.030030693,-0.537271814,-0.569643099,0.346245884,0.744839186,0.371982271
One-Back Task,subject004,-5,1.9,5.9,7.2,7.8,6.4,1.6,8.2,1.4,1.7,6.3,5.6,5.1,2,2,-0.009917203,-0.030030693,-0.537271814,-0.36819294,0.128952343,0.588570408,0.037414968
One-Back Task,subject005,-13,10,1,10,2.8,6.5,1,1,1,8.3,10,1.7,6.6,1,6.8,-0.009917203,-0.030030693,-0.537271814,1.245350063,-1.415659438,2.338950324,-0.687620289
One-Back Task,subject005,-14,10,1,10,3.6,3.8,1,1,1,8.7,10,3,7.5,1,8.3,-0.009917203,-0.030030693,-0.537271814,1.201116526,-1.366530248,2.55246083,-0.260542089
One-Back Task,subject006,-11,9,2.5,8,8.2,8.3,2.6,1,1,4.4,1,1,5,1.3,1,-0.009917203,-0.030030693,-0.537271814,-0.296488107,-0.839826189,0.56492069,1.073338071
One-Back Task,subject006,11,1.6,1,2,9.8,8.3,3.4,1,1,3.2,1.2,1.7,5.4,4.3,4.6,-0.009917203,-0.030030693,-0.537271814,-0.361814791,-1.011167435,-1.434654003,1.999339742
One-Back Task,subject007,7,7.9,7.2,8.9,2.3,5.6,8,6.4,5.4,3.8,3.8,7.9,4,8.1,6.8,-0.009917203,-0.030030693,-0.537271814,-0.078138599,2.019717838,0.802065276,-1.210661042
One-Back Task,subject007,12,2.6,2.8,5.7,1,2.5,1.8,5.1,2.6,8.4,2,5,5.6,2,3.1,-0.009917203,-0.030030693,-0.537271814,-0.476624739,-0.347132271,1.051872999,-0.942897129
One-Back Task,subject008,-13,9.4,1.9,2.5,1.3,8.7,1,1,4.9,10,8.5,1.5,4.9,2.6,8.9,-0.009917203,-0.030030693,-0.537271814,1.458211306,-1.056293762,0.404768165,-1.017985425
One-Back Task,subject008,6,9,1.9,8,5.3,2,1,2.1,5.7,8.8,7.3,7.6,5.1,2.7,2.6,-0.009917203,-0.030030693,-0.537271814,-0.084744472,0.086220438,2.183931804,0.092569173
One-Back Task,subject009,10,6.4,1,4.9,1,1,1.7,8.3,6.6,4,1,1,5.1,1,1,-0.009917203,-0.030030693,-0.537271814,-1.22747457,0.139810185,1.260419233,-0.93833894
One-Back Task,subject009,-5,1,1,5.6,1,6.5,1.8,2.4,3.8,1.8,4.2,1,6.4,1,7.3,-0.009917203,-0.030030693,-0.537271814,-0.104255666,-0.88011876,0.152140141,-1.186979352
One-Back Task,subject010,-13,2.5,2.2,4,5.2,3.4,4.3,9.9,1,6.1,8.8,5.9,4.6,3.4,2.4,-0.009917203,-0.030030693,-0.537271814,-0.286683042,0.135159521,1.063893941,0.043155482
One-Back Task,subject010,10,3.1,2,3,5.4,9,10,4,5,4,8,6,10,9,8,-0.009917203,-0.030030693,-0.537271814,0.743582114,0.97748051,-0.872414491,0.550861092
One-Back Task,subject011,9,6.7,1.7,6.2,9.2,2.9,2.6,1.7,6.7,8.1,4.7,6.9,8.2,1,5.8,-0.009917203,-0.030030693,-0.537271814,-0.011052333,-0.062157106,1.194613164,1.537577215
One-Back Task,subject011,10,3.2,1,7.2,10,1,1,1.1,1,8,8.6,1.8,8.4,1,10,-0.009917203,-0.030030693,-0.537271814,0.703705291,-1.847004698,1.338883559,1.970246532
One-Back Task,subject012,-7,10,1,1,5.1,8,1,1,1,10,9,5.5,7.2,1,8.3,-0.009917203,-0.030030693,-0.537271814,1.509222451,-1.375051929,0.32473162,0.442273845
One-Back Task,subject012,-6,9.4,1,1,5.1,8.5,1,1,1,9.4,9.6,8.2,7.1,1,7.8,-0.009917203,-0.030030693,-0.537271814,1.416245,-1.062244294,0.349020492,0.304678939
One-Back Task,subject013,-6,4.4,6,7.6,7.9,2.9,2.7,8.9,3,2.7,7.6,5.4,6.1,5,2.8,-0.009917203,-0.030030693,-0.537271814,-0.25318452,0.600525001,1.012439575,0.353080322
One-Back Task,subject013,11,5.1,7,7.6,6.2,1.6,6.4,8.2,2,2.3,8,6.6,5.7,4.4,4.5,-0.009917203,-0.030030693,-0.537271814,-0.293379515,1.0175228,1.068971929,-0.035209289
One-Back Task,subject014,-5,7.4,1.6,9.6,1.4,1.3,1.2,9.4,2.8,10,9.4,1,5.1,1.3,9.7,-0.009917203,-0.030030693,-0.537271814,0.821796681,-0.757656812,3.154162393,-1.155611133
One-Back Task,subject014,13,8.6,1,8,1.9,7.6,1.9,8.6,1.5,9.6,9.4,8,5.4,3.3,9.4,-0.009917203,-0.030030693,-0.537271814,1.244608776,-0.043098344,2.3938325,-1.146929042
One-Back Task,subject015,7,2.5,6,1,10,3.1,3.2,1,2.7,1,1,2.7,5.1,3.1,5.1,-0.009917203,-0.030030693,-0.537271814,-0.77872801,-0.420045779,-1.707503058,1.748891396
One-Back Task,subject015,7,7,7.6,1,10,1.4,1.4,7.1,2.6,1,1.1,10,5.5,7.1,6,-0.009917203,-0.030030693,-0.537271814,-0.615528037,0.989238597,-1.079165121,1.546789314
One-Back Task,subject016,-15,5.9,3.5,1,8.2,1.7,7,7,3.7,5.1,5.3,2.9,7.1,6.1,7.6,-0.009917203,-0.030030693,-0.537271814,0.004376935,0.33879176,-0.45612633,1.630186527
One-Back Task,subject016,10,7.9,3.3,1,8.9,2.8,8.2,6.7,4,4,3.3,8,3,8.9,7.2,-0.009917203,-0.030030693,-0.537271814,-0.565147245,1.449638047,-0.58991409,1.759584643
One-Back Task,subject017,-5,3,3,1.1,1,3,2.1,2.8,4.9,8.5,7,2.5,7,3,7.5,-0.009917203,-0.030030693,-0.537271814,0.540041671,-0.752491056,-0.061088519,-0.82748086
One-Back Task,subject017,-6,4,4.1,3.5,2.7,5.2,5,5.2,3.3,7,4.8,9,5.5,3.8,3,-0.009917203,-0.030030693,-0.537271814,-0.220278983,0.688841004,0.313691771,-0.650992763
One-Back Task,subject018,15,6.5,2,5,9,7.5,2.5,2.5,1,8,6.5,3,9,2,8,-0.009917203,-0.030030693,-0.537271814,1.095630573,-1.216668587,0.385737224,1.527723971
One-Back Task,subject018,-8,6,2,4,9,5,4,3,2,7.5,6,2.5,8,3,8.5,-0.009917203,-0.030030693,-0.537271814,0.697519968,-0.882903384,0.216551659,1.72438634
One-Back Task,subject019,-5,2,1,1,10,2.7,1.1,1.5,6.7,5.6,2.1,4.5,1,10,5.2,-0.009917203,-0.030030693,-0.537271814,-0.919115437,0.050081633,-1.05707101,2.066747533
One-Back Task,subject019,12,7,3.3,2.8,8,7.8,6.5,6.3,6.1,2.9,5,2.4,4.5,2,4.1,-0.009917203,-0.030030693,-0.537271814,-0.287513529,0.593234946,-0.22336064,0.761630102
One-Back Task,subject020,9,7.2,2.3,7,2.7,8.1,9.3,8.1,6,2.3,5.2,7.9,2.3,5,5.9,-0.009917203,-0.030030693,-0.537271814,-0.495926872,1.972741396,1.004200175,-1.00963223
One-Back Task,subject020,-13,8,4.4,6.4,2.4,7,7.9,6.7,7.5,3.4,2.9,6,5.8,2,2.2,-0.009917203,-0.030030693,-0.537271814,-0.59221713,1.632640791,0.78366225,-1.067784854
One-Back Task,subject021,-10,10,5.4,10,3.5,1.7,10,2.8,3.4,3.5,2,8,3.4,5.7,3.1,-0.009917203,-0.030030693,-0.537271814,-0.995817558,1.737046373,1.408577235,-0.283072655
One-Back Task,subject021,-12,6,5.7,6.8,2.5,7.6,6,7.5,4,4.7,6.7,5.6,5.4,6.5,6.8,-0.009917203,-0.030030693,-0.537271814,0.498406066,1.038303589,0.566572163,-1.163128727
One-Back Task,subject022,13,2.2,1.6,6,1,1,1.7,1.4,2.3,2,10,2.4,6.7,1.6,3,-0.009917203,-0.030030693,-0.537271814,-0.28580926,-0.921818396,1.037331732,-1.135335318
One-Back Task,subject022,11,9.4,2.6,1.5,2.6,3,1,1,3.2,9.1,10,1,10,3.9,2.6,-0.009917203,-0.030030693,-0.537271814,1.062504222,-1.250081127,0.348813362,-0.114334362
One-Back Task,subject023,-14,1.2,2,2.2,3.2,1.8,1,1,1,1,1.6,1,5.4,3.4,4.7,-0.009917203,-0.030030693,-0.537271814,-0.824568353,-1.180906153,-0.850365309,0.060086364
One-Back Task,subject023,10,3.6,7,7,9,2.8,3.4,4.9,5.9,6,9,3,5.7,2.9,6.9,-0.009917203,-0.030030693,-0.537271814,0.321032737,0.114232316,0.813493393,0.651372
One-Back Task,subject024,13,9,5.9,7.1,8.4,1,8.8,8.6,7.5,8.9,3,7,5.8,1.8,1.9,-0.009917203,-0.030030693,-0.537271814,-0.772475649,1.751848143,1.709941196,1.025331211
One-Back Task,subject024,-5,9.8,1,9.4,9.7,7.2,10,1.5,1,10,9.2,10,2.7,10,8.5,-0.009917203,-0.030030693,-0.537271814,0.767922955,0.918918806,1.582506707,1.822859308
One-Back Task,subject025,10,8.5,2.3,2.3,2.7,1.5,7,2.3,1.9,1,1,1.9,5,1.9,9.2,-0.009917203,-0.030030693,-0.537271814,-0.569834421,-0.14939154,-0.321157505,0.14859792
One-Back Task,subject025,13,7.5,3.2,2.9,2.2,2.4,6.3,6.4,4.8,2.6,4.1,3.2,5.9,6.6,2,-0.009917203,-0.030030693,-0.537271814,-0.660550468,0.880502656,0.012710599,-0.41008068
One-Back Task,subject026,-13,1,3.6,5.4,1,1,2,1.6,1,9.2,5,1,8,8.6,1.6,-0.009917203,-0.030030693,-0.537271814,0.099710906,-0.991783487,0.219937193,-0.490212105
One-Back Task,subject026,-14,5.4,6,4.8,8.2,4.6,6,6,2,7.8,3.6,2,9,5,7.2,-0.009917203,-0.030030693,-0.537271814,0.600469366,-0.127824865,-0.109007529,1.317034398
One-Back Task,subject027,7,10,1,10,10,1,1,1,1,10,10,1.2,5,1.7,2.9,-0.009917203,-0.030030693,-0.537271814,0.385795747,-1.4844196,2.691926285,1.773125575
One-Back Task,subject027,14,9,1,7.7,10,1.8,5.9,2.4,2.6,8.9,9.9,1,5.6,3.7,9.1,-0.009917203,-0.030030693,-0.537271814,0.711526553,-0.745168053,1.768249441,2.033020213
One-Back Task,subject028,-10,7,6.4,7.6,8,2,6.3,6.3,3.4,7,5.6,1.4,3.4,6.9,5.9,-0.009917203,-0.030030693,-0.537271814,-0.004923071,0.462325098,0.890161973,0.898341193
One-Back Task,subject028,13,7.1,6.8,7,6.6,9.9,10,4,3,7.9,7.8,5,3,3,7.6,-0.009917203,-0.030030693,-0.537271814,0.767189855,0.775640499,0.550863761,-0.008825601
One-Back Task,subject029,-10,6,2,2,7,4,5,10,9,6,6,8,4,5,4,-0.009917203,-0.030030693,-0.537271814,-0.581399779,1.576415394,0.581215178,0.551410994
One-Back Task,subject029,5,5,7,2,5,9,2,7,10,7,6,6,2,9,3,-0.009917203,-0.030030693,-0.537271814,0.149590812,1.456526309,-0.68014586,-0.769042872
One-Back Task,subject030,11,10,9.3,10,6,2.3,8.9,5.7,6.2,8,3.7,6.6,1.7,9.1,9.4,-0.009917203,-0.030030693,-0.537271814,0.097286712,2.033273321,1.258562852,-0.004762821
One-Back Task,subject030,-10,6,8,4.1,5.7,10,8,3,9,3.8,1.1,2.3,4.8,9.3,2.6,-0.009917203,-0.030030693,-0.537271814,-0.184572043,1.625014307,-1.526242691,-0.063645672
One-Back Task,subject031,-15,9.5,1,9.2,1.7,1,2,10,2.7,10,8.8,1,8.8,1,9.2,-0.009917203,-0.030030693,-0.537271814,1.024279224,-0.72656144,3.170478973,-0.744396947
One-Back Task,subject031,11,9.2,1,8.8,2.7,9.7,1.4,10,1.7,9.3,9.3,1.9,9.2,1.3,1.6,-0.009917203,-0.030030693,-0.537271814,1.170971051,-0.634366974,2.428135916,-0.968020584
Movie Task,subject001,12,5.2,5.2,1.8,2.6,7.8,7.1,6.6,3.8,6.9,4.6,1,6.6,1.1,6.7,-0.304622372,0.279657292,0.266021512,0.512323887,0.000884601,-0.387653922,-0.669150976
Movie Task,subject001,-7,6.9,4.9,1,5.1,1.8,1.7,1.1,1,5,7.9,2,10,2.4,7.9,-0.304622372,0.279657292,0.266021512,0.900811202,-1.299709754,-0.489316871,0.537308425
Movie Task,subject002,14,7.7,7.5,1,9.9,3.8,6.3,7.2,1,3.5,2,7.7,8.8,9,2.2,-0.304622372,0.279657292,0.266021512,-0.200361345,1.078579526,-1.332587648,1.926985399
Movie Task,subject002,5,2.7,4.8,6.2,10,2.9,6.1,3.1,1.5,3.6,2,7.4,2.3,4.2,3.5,-0.304622372,0.279657292,0.266021512,-1.147819405,0.537630383,0.103547607,1.569339429
Movie Task,subject003,-14,8.1,8.4,2.6,1,7.1,1.7,7.9,2,2.4,3.9,4.8,9.1,2,1.2,-0.304622372,0.279657292,0.266021512,0.289214968,0.300512687,-0.407180058,-1.646088594
Movie Task,subject003,15,7.7,8.4,6.9,1,7,1,8.6,2,3.1,3.1,3.8,3,7,4.1,-0.304622372,0.279657292,0.266021512,0.133749126,0.621120925,0.305176763,-1.915308835
Movie Task,subject004,-9,5,2.9,2.2,5,6.8,4.7,3.1,8.4,5,7.5,4.1,10,2,7,-0.304622372,0.279657292,0.266021512,0.593746639,0.221132914,-0.264573533,0.047586623
Movie Task,subject004,15,1.6,10,6.3,1,6.7,1.6,9.4,2.1,8.3,4.7,5.4,4.3,2,5.5,-0.304622372,0.279657292,0.266021512,0.468704862,0.231930357,0.600346742,-2.16929817
Movie Task,subject005,-12,6.7,1,1,3.5,2.4,2.5,1,3,3.7,3,4.3,5.7,1.9,4.6,-0.304622372,0.279657292,0.266021512,-0.518678584,-0.580736041,-0.24871483,0.25165943
Movie Task,subject005,9,8.1,3.3,1,1,4.1,1,1,1,2.8,6.1,1.9,7.1,1.8,5,-0.304622372,0.279657292,0.266021512,0.347622483,-1.135728322,-0.425288688,-0.830432034
Movie Task,subject006,-9,1.3,10,1,8.1,9.5,5.2,7.3,3.3,3,4.6,3.7,1,5.4,8.8,-0.304622372,0.279657292,0.266021512,0.224288658,0.648997796,-1.862802252,0.109844001
Movie Task,subject006,-14,1,8.7,2,4,1.2,1,5.5,1.1,1,3,4,2.5,5.8,5.8,-0.304622372,0.279657292,0.266021512,-0.655695569,-0.022688215,-1.125747452,-0.563599098
Movie Task,subject007,5,4.4,6.1,3.3,2.3,2,7,6.5,7,3,2.1,5.9,7.1,5.4,7.8,-0.304622372,0.279657292,0.266021512,-0.439581705,1.402762692,-0.338176256,-0.653276738
Movie Task,subject007,-5,5.8,1,1.5,1.3,1.2,1,1.3,1,3,9.7,5,8,1,10,-0.304622372,0.279657292,0.266021512,0.590585908,-1.215330164,0.341634524,-0.612371932
Movie Task,subject008,-9,7.8,7.8,3.8,7.8,7.9,3,3.7,5.2,8.2,7.7,7.2,7.6,3,8,-0.304622372,0.279657292,0.266021512,1.233813671,0.302672835,-0.032344931,0.354624296
Movie Task,subject008,12,10,10,6.6,4.8,6.3,1,1,2.9,9.9,8.2,10,8,4.4,5.4,-0.304622372,0.279657292,0.266021512,1.437186718,0.235615124,0.691015052,-0.652659147
Movie Task,subject009,-12,2.3,1.4,2.3,1,1,4,6.2,2.9,4.3,7,8,5.2,1.6,1.7,-0.304622372,0.279657292,0.266021512,-0.876508443,0.288705768,0.78681223,-0.964695154
Movie Task,subject009,-10,7.3,7.5,1.4,1.3,8.9,1.7,1.2,1.4,4,6.5,6.4,7.1,6.4,6.4,-0.304622372,0.279657292,0.266021512,1.114940535,-0.128669993,-1.270460423,-1.311480973
Movie Task,subject010,6,10,2.6,1.7,5.4,1.1,9.2,10,10,1,4.5,10,1,10,7.7,-0.304622372,0.279657292,0.266021512,-1.144930986,3.068378757,0.18031052,0.332125482
Movie Task,subject010,9,1,1,1,5.7,7,1,10,1,5.6,4,1,10,2.4,10,-0.304622372,0.279657292,0.266021512,0.768063078,-1.22344416,-0.502994204,0.640940967
Movie Task,subject011,9,4.9,4.2,4.1,4.5,4.8,6.3,2.8,5.2,3.8,5.4,4.4,6.6,2.9,7.3,-0.304622372,0.279657292,0.266021512,0.032685805,0.367260801,-0.073938274,-0.063780821
Movie Task,subject011,7,3.9,7.1,2.2,1.7,6,4.6,4,6.3,4.5,4,3.3,7.5,3.8,6.9,-0.304622372,0.279657292,0.266021512,0.322364878,0.425379832,-0.882981284,-1.135892542
Movie Task,subject012,-12,8,1,1,3,2,4.5,5.2,1,6.1,7,4.8,10,1,8.2,-0.304622372,0.279657292,0.266021512,0.580495135,-0.650248553,0.473011285,0.242178768
Movie Task,subject012,8,10,10,1,1,1,1,1,1,5.7,7.9,10,10,8,2,-0.304622372,0.279657292,0.266021512,0.787571259,0.317424204,-0.642143618,-1.064753289
Movie Task,subject013,-5,4.7,2.2,2.7,6.8,4.6,3,6.3,4.1,7,3.1,3.9,6.9,3.1,4.7,-0.304622372,0.279657292,0.266021512,-0.1202762,-0.16743368,0.104067062,0.9139539
Movie Task,subject013,15,6.7,2.5,1.1,7.3,5.7,2,9,3.4,1.9,3.3,3.5,7,5.5,5.9,-0.304622372,0.279657292,0.266021512,-0.060293309,0.132994366,-0.629961704,0.94101371
Movie Task,subject014,-8,5.2,4,2.1,7.5,2.9,7.2,2,2.9,2.2,4.3,3.7,5.6,2.2,8,-0.304622372,0.279657292,0.266021512,-0.329987629,0.015486513,-0.653551275,1.176280517
Movie Task,subject014,-7,8.8,9.6,7.7,1,1,1,1.9,7.2,1.3,8.6,1.5,1,1,1.9,-0.304622372,0.279657292,0.266021512,-0.501788224,0.405829374,1.173049674,-2.313924276
Movie Task,subject015,-12,3.9,9,1,10,1,8.9,5.9,8.5,1,1,10,5.8,5.3,6.1,-0.304622372,0.279657292,0.266021512,-1.191094101,2.365160389,-1.377836972,1.446705268
Movie Task,subject015,13,10,5.7,1,10,5.5,10,10,10,1,1,5.6,5.3,5.4,5,-0.304622372,0.279657292,0.266021512,-0.873233915,2.520062791,-0.892046773,1.514500174
Movie Task,subject016,15,7.3,3.1,3.1,1.8,3.1,2.1,1.4,2.4,8.1,6.4,3.2,7.6,2.6,5.6,-0.304622372,0.279657292,0.266021512,0.587199194,-0.890382008,0.450310922,-0.486931169
Movie Task,subject016,-12,3.2,9,2.4,2.2,1.6,2.1,2.4,3.7,3,2.6,1.9,7.6,2.5,1.9,-0.304622372,0.279657292,0.266021512,-0.423423033,-0.232050645,-0.928734022,-0.913230552
Movie Task,subject017,-9,8,4,3,1,6,7.6,6.6,4.5,3,6.1,8,10,4.1,5,-0.304622372,0.279657292,0.266021512,0.271640857,1.234443733,0.092252804,-1.033815831
Movie Task,subject017,-5,10,1.7,1,1,1,1,1.4,1,7,10,1,2,1,2,-0.304622372,0.279657292,0.266021512,0.037440929,-1.341254641,0.888160797,-0.80680144
Movie Task,subject018,-14,8.1,2.4,1.9,4,8,4.7,3,1.7,2.2,6.5,2.8,8,2.4,7,-0.304622372,0.279657292,0.266021512,0.633255263,-0.474058006,-0.526729338,-0.018480396
Movie Task,subject018,-12,8.2,9.4,3.5,5.2,5.3,3.2,2.9,3,3.1,8.1,8.8,7,9.6,5.2,-0.304622372,0.279657292,0.266021512,0.735385782,0.95951691,-0.770282417,-0.30306604
Movie Task,subject019,-14,1.6,8,1,8.5,7.6,2.6,7.6,8.3,4.3,3.8,3.9,7.4,6.8,5.3,-0.304622372,0.279657292,0.266021512,0.191579881,0.84919409,-1.607495331,0.581232432
Movie Task,subject019,6,3,10,3,1.8,2.5,6.2,7.8,6.1,2,1,8,7.3,9,7.5,-0.304622372,0.279657292,0.266021512,-0.339397017,1.959196379,-1.141550316,-1.113979525
Movie Task,subject020,10,8,8.3,2.4,2.3,8,8.7,7.4,2.8,5.7,2.2,3.9,4.2,8.4,2,-0.304622372,0.279657292,0.266021512,0.002792232,1.366322567,-0.95346472,-0.816951805
Movie Task,subject020,14,7.7,7,2.9,3,7.1,2.8,5.9,3.9,2,6,3.5,7.3,3.8,9.4,-0.304622372,0.279657292,0.266021512,0.845983466,0.202807697,-0.554347988,-0.963901061
Movie Task,subject021,-14,2.5,4.5,3.4,5.8,3.9,2.3,3,1.7,4.9,3.5,5.3,5.7,3,4.1,-0.304622372,0.279657292,0.266021512,-0.312965386,-0.398258099,-0.284486036,0.371189837
Movie Task,subject021,-15,4.9,3.9,7.5,3.7,5.9,6.5,2.6,5.8,7.5,5.6,6.7,6.7,9,8.3,-0.304622372,0.279657292,0.266021512,0.54311125,0.919278161,0.502858992,-0.241289379
Movie Task,subject022,-7,10,3.4,1,1.5,2.7,10,10,3.2,8.4,8.8,3.5,8.8,10,4.4,-0.304622372,0.279657292,0.266021512,0.698234771,1.114294989,0.264234724,-0.201788671
Movie Task,subject022,-15,10,7.1,1.5,2,3.7,10,10,1,4.4,2.8,9,4.6,10,4.4,-0.304622372,0.279657292,0.266021512,-0.238806784,2.066462276,-0.470899746,-0.501102755
Movie Task,subject023,-9,5,4.3,7.1,2.7,7.6,5.4,6.8,4.5,4.7,7.8,6.6,9.4,6.3,5.1,-0.304622372,0.279657292,0.266021512,0.646158471,0.892652907,0.692884728,-0.940624604
Movie Task,subject023,8,7.8,6.8,6.9,8.5,10,10,7,6.1,4.1,7.9,7.6,5.7,2.8,3.4,-0.304622372,0.279657292,0.266021512,0.190285468,1.8352808,0.561729016,0.283207458
Movie Task,subject024,-10,10,9.4,1,6.6,1.3,10,1.1,9.2,1.8,10,8.5,1,1,1.4,-0.304622372,0.279657292,0.266021512,-0.930457476,2.106475886,-0.204034476,-0.135903464
Movie Task,subject024,-9,8.8,10,2,10,4,9,1.9,1.9,8.1,4.1,2.3,3,1,10,-0.304622372,0.279657292,0.266021512,0.49592562,0.004399064,-0.748653282,1.56232567
Movie Task,subject025,8,4.2,8.4,4,4,7,6.8,4,5.6,7.8,3.4,3.9,6.8,2.6,6.8,-0.304622372,0.279657292,0.266021512,0.457559644,0.5605741,-0.453780216,-0.54285718
Movie Task,subject025,9,6.8,7,4,7.1,3.9,4.7,4.5,4,4.1,4.1,4.6,6.3,4.7,3.8,-0.304622372,0.279657292,0.266021512,-0.13907707,0.539559025,-0.27655512,0.574621749
Movie Task,subject026,-11,10,3.8,1.1,3,3,1,1,1,5,3,1,10,1,3,-0.304622372,0.279657292,0.266021512,0.304081446,-1.3058492,-0.393808737,0.123237456
Movie Task,subject026,-10,5.8,10,6.2,2.2,6,1,5.8,1,8,7,6.4,10,7.8,2.4,-0.304622372,0.279657292,0.266021512,1.159342956,0.168342559,0.166436704,-1.27631235
Movie Task,subject027,7,5.3,1,1,10,8.7,2,1.7,1.2,10,10,1,8.3,7.8,9.1,-0.304622372,0.279657292,0.266021512,1.793075561,-1.577718473,-0.770939483,2.139991239
Movie Task,subject027,6,7.2,1,1.6,10,7.1,1.5,1.3,1,5.7,10,1.2,5.3,7.7,9,-0.304622372,0.279657292,0.266021512,1.191850625,-1.3219633,-0.632191153,1.961145566
Movie Task,subject028,-9,6.9,3.5,2,3,3.4,2.7,6.6,3.3,3.9,7.3,3.4,8.9,6.2,8.4,-0.304622372,0.279657292,0.266021512,0.70934383,-0.084265863,-0.126301177,-0.262438766
Movie Task,subject028,12,5.8,5.5,9.8,8.9,5.3,6.2,3.7,4.9,6,5.8,3.6,6.5,6.2,6.6,-0.304622372,0.279657292,0.266021512,0.318022233,0.56411927,0.906070705,0.989127825
Movie Task,subject029,-8,7,7,7,8,9,2,4,4,6,7,9,9,7,7,-0.304622372,0.279657292,0.266021512,1.183109408,0.594031648,0.153922766,0.382359247
Movie Task,subject029,6,7,9,6,4,5,7,8,6,4,9,10,3,2,4,-0.304622372,0.279657292,0.266021512,-0.157430219,1.955009722,1.031951541,-1.353277708
Movie Task,subject030,11,7,3,9.6,7,8,7.1,7,1,10,9,8,10,10,8,-0.304622372,0.279657292,0.266021512,1.50456958,0.652866381,1.439254573,0.812241139
Movie Task,subject030,-5,5.8,1,1,2.9,1,5,9.3,10,9,1,1,2.3,1,1,-0.304622372,0.279657292,0.266021512,-1.373735543,0.708560616,0.811043618,-0.188312798
Movie Task,subject031,10,1.6,9.1,4.1,2.7,7.2,1.2,9.6,7.9,1.9,1.7,8.5,9.9,1.2,7,-0.304622372,0.279657292,0.266021512,0.057861658,1.249981518,-0.479650874,-1.627726685
Movie Task,subject031,-14,1.3,9,1.8,1.3,2.5,1.6,8.9,9.5,1.3,2.5,1.4,8.3,1.3,3.7,-0.304622372,0.279657292,0.266021512,-0.584572019,0.743525128,-0.773878533,-1.716378118
Memory Task,subject001,11,9.5,10,1,4.1,10,5.4,2.6,9.3,10,9,1,10,7,10,-0.036691414,0.115884583,0.323863964,2.291626765,0.461087461,-1.282731621,-0.591051828
Memory Task,subject001,-13,1.9,10,1,2.4,9.8,6,2.3,3.7,6.6,7.9,5.6,9.3,8.2,8.6,-0.036691414,0.115884583,0.323863964,1.567815081,0.433451109,-1.958381568,-1.075958699
Memory Task,subject002,-13,4.7,9,1.6,10,1,4.1,6.3,1,9.4,4.2,9,6.5,6.9,5.3,-0.036691414,0.115884583,0.323863964,0.182865332,0.48726341,-0.531891308,1.726756709
Memory Task,subject002,11,6.8,10,2.1,10,9.4,3.2,5.5,1,9.1,4.4,1.4,7,7.2,9,-0.036691414,0.115884583,0.323863964,1.604588799,-0.449091254,-1.449163746,1.339114427
Memory Task,subject003,6,6.4,7.5,1,1,8.4,1,1,1,8,6.3,5.4,8.5,7.2,6.9,-0.036691414,0.115884583,0.323863964,1.553669506,-0.600086448,-1.239231288,-1.138139023
Memory Task,subject003,8,7.4,8,1,1,10,1,1,1,8.5,7.1,1,7,7.7,10,-0.036691414,0.115884583,0.323863964,2.112538935,-1.07075591,-1.449518141,-1.230176118
Memory Task,subject004,12,8,9,1.8,1.6,9.6,1.6,6.6,3,7,2.9,2.3,7.4,2.4,9.5,-0.036691414,0.115884583,0.323863964,1.368371875,-0.269078639,-0.846918272,-1.410037187
Memory Task,subject004,11,4.1,9,1.7,1.9,10,3,8.8,2,3,6.2,3.2,6.1,2,9.2,-0.036691414,0.115884583,0.323863964,1.028885049,0.053237657,-0.975809128,-1.721842424
Memory Task,subject005,-5,6.5,2,1,4.2,10,3.4,3.1,1,7.3,8.3,1,9.2,8.7,8.4,-0.036691414,0.115884583,0.323863964,1.723398392,-0.979679728,-1.035227442,0.337975891
Memory Task,subject005,-13,7.3,8.7,1,3.6,1,6.7,7.5,1,7.1,8,10,9.1,3,2,-0.036691414,0.115884583,0.323863964,0.219936075,0.93038756,0.145273078,-0.334189459
Memory Task,subject006,-7,1,10,1,1,10,2.4,10,1,10,5.3,1,6.6,9.4,10,-0.036691414,0.115884583,0.323863964,1.787922992,-0.266373715,-1.518614671,-1.548437058
Memory Task,subject006,-8,1,10,1,1,3.6,1,4.9,1,8.8,3.2,1,5.1,1,7.4,-0.036691414,0.115884583,0.323863964,0.533920094,-1.052217896,-0.865901896,-1.415048456
Memory Task,subject007,9,10,10,3,1,10,2.4,3.2,2.5,9.1,9.2,1.6,8.6,8.5,10,-0.036691414,0.115884583,0.323863964,2.534766298,-0.344974098,-0.807462821,-1.534776845
Memory Task,subject007,14,7.3,10,10,3,1.6,3.4,6.6,9,2,10,3,3.8,9.9,10,-0.036691414,0.115884583,0.323863964,0.532925493,1.567502213,1.088480028,-1.623996342
Memory Task,subject008,7,8,9.1,4.5,1,10,6,5,3.1,2.6,8.8,7.8,8.6,10,10,-0.036691414,0.115884583,0.323863964,1.618826952,1.270303065,-0.822461891,-1.719447243
