Task_name,Participant #,Runtime_mod,Absorption_response,Other_response,Problem_response,Words_response,Sounds_response,Images_response,Past_response,Distracting_response,Focus_response,Intrusive_response,Deliberate_response,Detailed_response,Future_response,Emotion_response,Self_response,Knowledge_response,Gradient 1,Gradient 2,Gradient 3,FAC1_1,FAC2_1,FAC3_1,FAC4_1
Finger Tapping Task,subject009,5,2,2.7,1,2.1,2.3,6.2,1,2,4.2,1.1,3,1,1,3.5,2.9,2.1,-0.090963574,-0.241336366,-0.170440839,-1.97669,-1.17949,-0.68957,0.20605
Finger Tapping Task,subject009,15,1.8,3.2,4.5,1,3,4.1,2.2,3.1,1,1,3.4,7,4.4,4.1,2.1,2,-0.090963574,-0.241336366,-0.170440839,-1.06331,-0.60309,-1.49908,0.73866
Finger Tapping Task,subject009,-10,2.6,1,2.7,1,2.4,1.1,5.6,5,3.6,2.2,5.1,2,2.2,1,5.8,2.9,-0.090963574,-0.241336366,-0.170440839,-1.44549,-0.69768,-0.88652,-0.6666
Two-Back Task-scenes,subject009,7,1.9,2.7,2.1,2,4.1,10,2.6,6.4,3.5,3.7,2.9,4.6,4.4,3.8,2,3.2,-0.130999829,0.464204275,-0.426960277,-1.68492,0.10376,-0.53728,0.52151
Two-Back Task-scenes,subject009,-9,7.5,1.4,4.7,4.4,1.9,9.1,2.3,2.6,7.5,3,6.9,1.5,2.4,3.2,6.3,2.8,-0.130999829,0.464204275,-0.426960277,-0.48872,-0.52473,-0.62571,-0.43638
Two-Back Task-faces,subject009,12,2.8,7.8,4.1,4.6,4.8,10,5.3,1.8,2.2,7.4,4.8,4.3,3.2,4,3.8,1.4,-0.025340712,0.386745896,-0.434225517,-1.38261,0.10443,0.23445,0.83793
Two-Back Task-faces,subject009,6,1.9,7.3,7.1,5.5,7,3.1,3.7,2,4.3,3.8,3.7,8.1,1.2,3.7,3.3,4.6,-0.025340712,0.386745896,-0.434225517,-0.59192,-0.27923,-0.32641,0.20091
Reading Task,subject009,12,3,3.8,3.5,6.2,3.1,5.6,5.6,4.3,5.8,5,7.2,7.1,6.4,1.4,6,7.4,-0.19586954,-0.014883893,0.326889586,-0.20586,-0.03947,0.14624,-0.59005
Reading Task,subject009,8,2,3.4,7.4,4.9,1.7,6.5,3.3,3.3,6.6,1.9,8.2,2,3.3,5.5,8.2,4.5,-0.19586954,-0.014883893,0.326889586,-0.39227,-0.36981,-0.64968,-0.08881
Reading Task,subject009,13,5.3,9.7,5.5,3.3,1.9,2.8,3.8,7.8,2.7,4.4,3.7,6.5,7.6,6.1,7.4,4.5,-0.19586954,-0.014883893,0.326889586,-0.73254,0.93884,-0.47197,0.31258
Memory Task,subject009,-9,6,5.8,2.9,7.8,2,9,8,2.7,4.8,5.5,4.5,9,1.3,3,4.7,5.8,-0.036691414,0.115884583,0.323863964,-0.17086,-0.61823,1.037,-0.01335
Memory Task,subject009,5,9.9,8.7,4.9,7.4,1,5.7,1,6.8,7.3,5,3.7,4.7,9,6.2,7.5,8.4,-0.036691414,0.115884583,0.323863964,-0.04737,0.90585,0.07667,-0.50513
Memory Task,subject009,-14,2.8,7.1,4.5,6.4,6.3,9.4,4.5,4.5,4.2,8.2,6.6,9.1,8.6,1.2,5.2,6.3,-0.036691414,0.115884583,0.323863964,-0.38929,0.97538,0.31732,0.08711
Hard Math Task,subject009,9,5.7,4.4,3,1.4,1.8,4.8,6.4,3.5,3.3,7.3,8.3,7.7,5.8,6.9,5.1,4,-0.275798122,0.402380589,-0.407389088,0.06157,0.36894,-0.89801,1.15489
Hard Math Task,subject009,-5,2.4,6.4,7.6,5.3,8.5,5.3,2.9,9.4,4.1,1,5.2,6.3,4.7,4.2,1,6.7,-0.275798122,0.402380589,-0.407389088,-0.68512,0.29498,-0.25175,-0.20076
Hard Math Task,subject009,-10,5.3,3.7,5.1,6.4,7.2,5.9,3,3,6.4,3.8,6.4,1,3.9,8.4,2.1,2.3,-0.275798122,0.402380589,-0.407389088,-0.70778,0.02445,-0.661,0.59338
Easy Math Task,subject009,13,2.2,1.7,5.2,5.8,5,6,9,3,10,6.4,3.1,2.6,2,2.5,6.4,4.4,-0.124954138,0.332221971,-0.020870498,-1.04733,0.14487,0.32347,-1.05512
Easy Math Task,subject009,9,6.1,3.7,2,1.1,9,3.4,2.8,2.9,5.2,4.1,3,3.8,2.3,2.9,4.6,5.2,-0.124954138,0.332221971,-0.020870498,-1.15102,0.11623,-0.68577,0.28299
Easy Math Task,subject009,-7,5.5,9.5,2.8,3.3,3.5,1.6,3.2,6.4,4.9,6.9,2.4,5.9,4.1,3.2,2.1,5,-0.124954138,0.332221971,-0.020870498,-1.2767,0.3906,-0.05802,-0.44766
One-Back Task,subject009,-10,3.4,5.1,5.7,4,3.6,8.8,3.3,2.5,1,9.4,5.6,5.7,4.2,1.5,1.1,3.9,-0.009918255,-0.030028992,-0.537272264,-0.87031,0.07503,-0.4762,0.2661
One-Back Task,subject009,-15,2.7,4.1,5,7,4.8,5.6,3,5.4,4,5.8,3.9,4.1,3.2,5.2,4.9,5,-0.009918255,-0.030028992,-0.537272264,-0.9802,0.28024,-0.29127,0.21483
One-Back Task,subject009,6,3.5,4.9,5.7,10,8.3,7.2,4.3,6.2,10,3.5,8.8,2.5,8,1,8.6,7,-0.009918255,-0.030028992,-0.537272264,-0.38697,0.68862,0.69216,-1.42282
Zero-Back Task,subject009,-14,5.5,1.3,3.2,9,4.3,2.1,2.3,4.5,5.8,9.7,9,9.7,2.4,2.2,8.4,6.7,0.092938821,-0.060981931,-0.389395513,0.5155,0.42791,-0.63581,-0.14055
Zero-Back Task,subject009,6,1.3,8.4,3.5,4.7,6.3,8,1.1,5.7,4.1,4.2,2.3,8.6,1,8,6.6,7.2,0.092938821,-0.060981931,-0.389395513,-0.97809,0.53632,0.06293,1.61117
Zero-Back Task,subject009,-10,5,2.3,4.7,7.4,5.6,7.7,5.1,6.5,3.2,4.2,5,9.8,5,8.8,1,3.8,0.092938821,-0.060981931,-0.389395513,0.06433,0.33946,-0.60453,1.26928
Friend Task,subject009,-12,7,3.6,1.9,2.1,3.4,1,4.2,3.6,1.3,5.4,1.9,5.3,3.3,5.3,2.2,1.9,0.066229557,0.061472443,0.208842324,-1.10198,-0.1462,-1.14251,0.64129
Friend Task,subject009,-13,7.1,2,5,8,6.8,4.3,5,8.2,5,6,6.8,10,1.4,10,6,2,0.066229557,0.061472443,0.208842324,0.39928,0.93685,-0.91387,1.37545
Friend Task,subject009,5,5.7,8,8.9,4,3.2,4.6,5,4,1.1,3.1,7.2,1.7,3.2,7.6,8,3.8,0.066229557,0.061472443,0.208842324,-0.36572,0.01181,-0.53263,0.7627
You Task,subject009,-11,4.1,6,8.6,3,5,9,4.9,4.5,6.1,6,2.1,5,6,6.5,9.9,7,-0.068702623,0.051618542,0.14160951,-0.46796,1.36882,-0.3652,0.53547
You Task,subject009,13,6.2,4,9.2,6.7,2.1,4.8,2.8,5.8,1,3.8,1,3.3,1,7.8,7.8,5.1,-0.068702623,0.051618542,0.14160951,-0.56825,0.14262,-0.80753,0.53872
You Task,subject009,-8,4.7,8,1.1,3.2,2,9,7,3.1,3,3.8,4,1.3,3.7,5.3,4,6.7,-0.068702623,0.051618542,0.14160951,-1.38721,-0.5956,0.98524,0.4495
Movie Task-bridge,subject010,8,7.9,5.5,1,10,10,8,9,10,9,8,2.4,3,1,8,9.3,10,-0.055046289,0.280933569,0.317858122,-0.78696,1.46071,1.88446,0.19296
Movie Task-bridge,subject010,8,7.9,5.5,1,10,10,8,9,10,9,8,2.4,3,1,8,9.3,10,-0.055046289,0.280933569,0.317858122,-0.78696,1.46071,1.88446,0.19296
Movie Task-incept,subject010,-5,8.8,2.2,1,2.5,10,6,1,2.4,2,10,6.4,5.9,1,10,3,7.4,-0.293453447,0.376771714,0.156545561,-0.01823,0.74313,-1.19805,2.64657
Movie Task-incept,subject010,-5,8.8,2.2,1,2.5,10,6,1,2.4,2,10,6.4,5.9,1,10,3,7.4,-0.293453447,0.376771714,0.156545561,-0.01823,0.74313,-1.19805,2.64657
Zero-Back Task,subject010,9,5.5,1,1,1,1,10,1,1,1,6.4,1,1,1,2.8,1,8.6,0.092938821,-0.060981931,-0.389395513,-1.50177,-0.99407,-0.45999,0.50143
Zero-Back Task,subject010,-11,6.7,1,1,1,1,10,5.9,7.1,5.1,1,8.8,1,1,4.3,1,8.7,0.092938821,-0.060981931,-0.389395513,-0.56743,-1.28932,0.23171,-0.18087
Zero-Back Task,subject010,-10,6.1,1,1,1,6.4,10,1,9.3,8.9,8.6,1.7,1,1,5.1,1,8.5,0.092938821,-0.060981931,-0.389395513,-1.62661,0.9407,-0.32061,-0.0569
One-Back Task,subject010,-15,10,1,1,10,1,10,2.1,1,1,1,10,9.3,1,9,1,9,-0.009918255,-0.030028992,-0.537272264,1.37764,-1.96188,-0.03622,1.74882
One-Back Task,subject010,-8,9,1,1,10,10,10,8.1,1,1,1,10,10,1,9.1,1,8,-0.009918255,-0.030028992,-0.537272264,1.24562,-1.28603,0.60481,2.27411
One-Back Task,subject010,-10,8.9,1,1,10,10,10,7.2,1.3,2,1.2,10,10,1,8.8,1,9,-0.009918255,-0.030028992,-0.537272264,1.28026,-1.22034,0.60797,2.08787
Easy Math Task,subject010,7,10,1,2.7,10,1,10,6.1,1,1,1,10,10,1,5.5,1,10,-0.124954138,0.332221971,-0.020870498,1.56168,-2.16745,0.53226,0.8081
Easy Math Task,subject010,-8,9.2,1,1.3,10,10,6.5,7.4,5.3,8.1,5,10,7,1,4.4,1,10,-0.124954138,0.332221971,-0.020870498,0.79471,-0.46392,0.91193,-0.18917
Easy Math Task,subject010,14,3.4,1,1.7,10,1,9.5,10,7.8,2.5,7.5,4.5,1,1,2.1,1,10,-0.124954138,0.332221971,-0.020870498,-1.16317,-0.87629,1.70393,-1.01042
Hard Math Task,subject010,11,9,1,1,10,1,9.8,2.5,9,7.8,7.2,3.8,7.4,1,2.8,1,10,-0.275798122,0.402380589,-0.407389088,-0.11577,-0.25829,0.73885,-0.99871
Hard Math Task,subject010,-6,8.1,1,7.7,10,10,10,10,1,9.4,2.3,10,8.9,1,7.2,1.4,10,-0.275798122,0.402380589,-0.407389088,1.83104,-0.75691,0.71918,0.29703
Hard Math Task,subject010,-7,8.9,1,5.1,8.3,2.3,9.5,9.4,2.1,10,1.4,10,8,1,5.4,1,10,-0.275798122,0.402380589,-0.407389088,1.54736,-1.54774,0.81438,-0.60001
You Task,subject010,-13,7.7,1,2.2,2,1,10,8.3,3,1,6.7,8.9,8.5,1.5,8.5,10,9.9,-0.068702623,0.051618542,0.14160951,0.93308,-0.08224,-0.21351,2.17545
You Task,subject010,6,1.8,1,3.3,9.6,4.9,10,6.8,2.7,6.7,9.3,7.8,8.9,1,5.4,10,3,-0.068702623,0.051618542,0.14160951,-0.05828,0.54101,0.16796,0.9698
You Task,subject010,7,1.6,8.7,3.7,8.7,2.4,10,10,9.5,10,8.2,2.1,2.6,1,6.9,10,7.8,-0.068702623,0.051618542,0.14160951,-1.45586,1.0689,2.13977,-0.48816
Friend Task,subject010,13,4,10,1.8,9.3,3.1,5.8,10,9.8,3,7.8,7.8,4.3,1,6,6,10,0.066229557,0.061472443,0.208842324,-0.67526,0.12772,2.12954,0.03855
Friend Task,subject010,10,4.9,8.1,2.6,9.2,1.5,2.3,6,8.8,7.8,10,8.6,2.6,7.9,7.9,2.1,2.4,0.066229557,0.061472443,0.208842324,-0.78982,0.99509,0.28119,-0.50808
Friend Task,subject010,-11,10,10,1,7.2,2.9,10,10,1,3.1,8.1,6.9,10,4,9,3,10,0.066229557,0.061472443,0.208842324,0.82301,-0.22578,1.59862,1.61266
GoNoGo Task,subject010,-9,10,8.3,1,2.8,10,8.9,1,8.7,10,7.4,1.2,2.6,7.7,1.8,8.1,2.1,-0.31702636,0.036362577,-0.159410417,-1.86394,2.27404,0.12663,-0.5239
GoNoGo Task,subject010,10,6.4,1,8,1,1,5.7,4,1,1.1,1.3,1,6.2,8.6,1,9.7,9.4,-0.31702636,0.036362577,-0.159410417,0.06304,-0.15365,-1.2548,-0.22245
GoNoGo Task,subject010,12,8.5,6.3,9,6.5,1,4.4,4.8,1.9,5.8,8.5,1,2.2,6.5,1,1.1,7.8,-0.31702636,0.036362577,-0.159410417,-0.43977,-0.00372,0.00445,-1.84887
Finger Tapping Task,subject010,10,4.3,8.7,8.8,2.7,6.7,4.2,8,8.7,7.5,8.1,3.2,1.5,7.8,8.6,4.9,3.6,-0.090963574,-0.241336366,-0.170440839,-1.09844,2.0456,-0.28958,-0.05656
Finger Tapping Task,subject010,-15,3.4,3.7,7.3,9,3.3,7.8,1.9,6,8,8.8,4.8,3.7,3.9,8,6.4,8,-0.090963574,-0.241336366,-0.170440839,-0.24856,0.98888,-0.24175,0.0939
Finger Tapping Task,subject010,5,8.8,8,7.6,3.8,2.5,6.4,8.2,7.7,7.9,7.7,6.5,8.2,7.3,8.8,7.5,1.7,-0.090963574,-0.241336366,-0.170440839,0.34406,1.72365,-0.43377,0.40539
Two-Back Task-faces,subject010,-11,5.6,10,2.4,8,9.5,8.2,3.9,10,8.2,10,7.3,8.5,6.3,9.4,6.6,5.7,-0.025340712,0.386745896,-0.434225517,-0.31901,2.33045,0.61623,1.21859
Two-Back Task-faces,subject010,14,4.9,10,8.4,5.8,5.3,4.1,7.6,1,8,3.6,5,1.7,2.9,4.6,4,2.6,-0.025340712,0.386745896,-0.434225517,-0.75352,-0.29526,0.46908,-0.77071
Two-Back Task-scenes,subject010,5,9,3.4,3.9,7.6,8.8,9,9,7,9,7.3,4.2,6.7,5,7,4.1,1.2,-0.130999829,0.464204275,-0.426960277,-0.29849,1.36625,0.27644,0.25304
Two-Back Task-scenes,subject010,-14,7,6.4,3.4,7.6,7.3,7.8,6.4,6.3,7,6.2,7.1,3.5,10,1,5.7,4.5,-0.130999829,0.464204275,-0.426960277,-0.67065,0.99608,0.69858,-0.97699
Memory Task,subject010,6,6.7,7.3,1.1,8.3,1.7,8.2,10,1,3,2,9.9,2.5,3.6,3.3,10,10,-0.036691414,0.115884583,0.323863964,0.0661,-1.31544,1.93782,-0.00397
Memory Task,subject010,11,9,8.1,3.1,8.9,7.2,10,10,2,2.1,6.3,1.8,7.3,1,9.9,7.3,10,-0.036691414,0.115884583,0.323863964,0.12972,0.18759,1.64827,1.84486
Memory Task,subject010,6,6.6,5.2,8.4,9,8.2,9.7,10,1,2.3,6.1,6.1,3.5,1.2,1.6,9.8,9,-0.036691414,0.115884583,0.323863964,0.12649,-0.13043,1.28984,-0.10725
Reading Task,subject010,7,1.8,1.6,2,8.5,8.8,10,3.6,9.4,10,10,1.6,7.1,9.2,8.3,2.2,4.6,-0.19586954,-0.014883893,0.326889586,-1.13273,2.30014,-0.18501,0.57081
Reading Task,subject010,-15,10,1,4.7,7.7,8.7,7.3,6.9,7.9,3.5,3.6,7.2,2.5,8.2,8.4,7.9,7.7,-0.19586954,-0.014883893,0.326889586,0.32914,1.05159,-0.15026,0.76149
Reading Task,subject010,-15,9.7,8.6,6.8,3.2,7.3,2.1,10,4.1,1.7,8.7,3.2,7.1,7.4,9,8.3,6.7,-0.19586954,-0.014883893,0.326889586,0.27472,1.63663,-0.24507,1.31402
Easy Math Task,subject011,8,10,1,10,10,10,1,1,1,10,2.1,10,10,5.7,2.9,1,8.8,-0.124954138,0.332221971,-0.020870498,2.09343,-0.35658,-1.25114,-1.06449
Easy Math Task,subject011,-11,10,1,10,10,10,1,1,2.4,10,1.9,10,10,6,4,1,10,-0.124954138,0.332221971,-0.020870498,2.17086,-0.19412,-1.21421,-0.94768
Easy Math Task,subject011,-5,10,1,10,10,10,1,1,1,10,2.3,10,10,6,3.2,1,10,-0.124954138,0.332221971,-0.020870498,2.19417,-0.32149,-1.20105,-1.0257
Hard Math Task,subject011,14,10,1,10,10,10,1,1,2.6,10,5.6,3.5,10,10,1,6.3,7.7,-0.275798122,0.402380589,-0.407389088,1.23726,1.25479,-1.35411,-1.44902
Hard Math Task,subject011,15,10,1,10,10,1,1,2,1.5,10,2.2,8.4,10,3.2,2.8,1,9,-0.275798122,0.402380589,-0.407389088,2.02918,-1.24387,-0.99906,-1.76323
Hard Math Task,subject011,-7,10,1,10,10,1,1,1.8,1.8,10,8.5,6.8,8.2,1.9,1,1,9.5,-0.275798122,0.402380589,-0.407389088,1.50325,-0.5851,-0.86935,-2.15995
Reading Task,subject011,13,10,1,10,10,1,1,7,7.9,10,7,2.3,8.4,6.7,1,2,8.6,-0.19586954,-0.014883893,0.326889586,0.88023,0.45357,-0.32043,-2.81945
Reading Task,subject011,14,5.3,1,7,10,1,1,1,3.2,7.8,7,3.6,5,8.4,2.1,2.5,4.4,-0.19586954,-0.014883893,0.326889586,-0.16998,0.14296,-1.19048,-1.67135
Reading Task,subject011,5,10,1,8.9,10,1,1,8.8,2,10,3.7,7.7,3.8,7,2.5,1.7,9.2,-0.19586954,-0.014883893,0.326889586,1.31473,-0.90136,-0.00644,-2.45767
Memory Task,subject011,-11,2.9,8,10,10,3.6,8.6,10,2,10,3,1.9,2.1,1,5.8,7.5,10,-0.036691414,0.115884583,0.323863964,-0.31675,-0.40163,1.76717,-1.0895
Memory Task,subject011,-5,10,10,9.1,10,1,8.5,10,2.6,7.5,1,6.1,4.3,1,8,10,10,-0.036691414,0.115884583,0.323863964,0.97521,-0.72848,1.7555,-0.35948
Memory Task,subject011,6,9,10,9.1,10,10,6.9,10,1.4,10,2.2,2.4,2.3,1,3.4,8.5,10,-0.036691414,0.115884583,0.323863964,0.01265,-0.11184,2.06416,-1.26737
You Task,subject011,6,10,2.6,10,10,1,1,7.6,6.3,10,8.4,1,1,1.9,1,10,6,-0.068702623,0.051618542,0.14160951,-0.2536,0.59425,0.18827,-2.81185
You Task,subject011,-15,10,1,10,10,1,1,5.6,1,10,2.1,2.7,6.2,1,4.4,10,7.2,-0.068702623,0.051618542,0.14160951,1.09299,-0.63378,-0.48944,-1.47833
You Task,subject011,5,10,2.2,10,10,1,1,8,7.2,10,2.1,4.2,3.8,1,4.2,10,8,-0.068702623,0.051618542,0.14160951,0.72276,-0.2001,0.17828,-2.10598
Friend Task,subject011,6,10,10,10,10,1,1,8.9,8,10,6.2,1.6,3.2,1.1,2.1,3.6,10,0.066229557,0.061472443,0.208842324,-0.06462,-0.07015,1.50004,-2.98054
Friend Task,subject011,9,10,10,10,10,1,1,9,4.3,10,2.7,3.5,2,1,2.5,3.2,10,0.066229557,0.061472443,0.208842324,0.23649,-1.02164,1.52011,-2.82105
Friend Task,subject011,-12,10,10,10,10,1,1,10,4,10,2.4,3.9,3,1,3.5,3.5,10,0.066229557,0.061472443,0.208842324,0.47062,-1.03289,1.54329,-2.54657
Zero-Back Task,subject011,13,10,1,10,1,1,1,1,1,10,1,9,1,1,6.6,1,4.3,0.092938821,-0.060981931,-0.389395513,0.74735,-1.16326,-2.18986,-0.87304
Zero-Back Task,subject011,-8,10,1,10,1,1,7,1,1,10,1,8.3,4,8.3,7.1,1,8,0.092938821,-0.060981931,-0.389395513,1.31553,-0.39211,-1.9394,-0.42172
Zero-Back Task,subject011,-14,10,1,10,1,1,4.9,7,3.3,10,2.1,6.2,1,8.5,3.9,1,7.9,0.092938821,-0.060981931,-0.389395513,0.60999,-0.2883,-1.05453,-1.77087
One-Back Task,subject011,10,8.6,1,8.7,1,1,1,4.3,8.3,10,4.3,8.5,1,6.7,3.4,1,1,-0.009918255,-0.030028992,-0.537272264,-0.17933,0.35753,-1.8983,-1.91112
One-Back Task,subject011,12,10,1,10,7.2,1,1,10,1,10,1,8.5,4.1,6.1,4.5,1,1,-0.009918255,-0.030028992,-0.537272264,1.058,-1.05141,-0.8789,-1.80224
One-Back Task,subject011,-9,10,1,10,1,1,1,10,1,10,1,3.6,2,7.1,4.3,1,2.8,-0.009918255,-0.030028992,-0.537272264,0.30562,-0.61196,-1.29951,-1.77559
Movie Task-bridge,subject011,10,10,7.3,3.9,10,1,3.5,8.1,1,10,1,7.3,7.4,9,4.3,1,10,-0.055046289,0.280933569,0.317858122,1.14969,-1.14358,1.08085,-1.48
Movie Task-bridge,subject011,10,10,7.3,3.9,10,1,3.5,8.1,1,10,1,7.3,7.4,9,4.3,1,10,-0.055046289,0.280933569,0.317858122,1.14969,-1.14358,1.08085,-1.48
Movie Task-incept,subject011,-14,8,7.8,1,10,1,7.2,9.1,1,10,1,7.8,6.3,7.8,1,1,10,-0.293453447,0.376771714,0.156545561,0.4175,-1.54782,2.04496,-1.80565
Movie Task-incept,subject011,-14,8,7.8,1,10,1,7.2,9.1,1,10,1,7.8,6.3,7.8,1,1,10,-0.293453447,0.376771714,0.156545561,0.4175,-1.54782,2.04496,-1.80565
Two-Back Task-faces,subject011,-5,2.9,2.8,10,1,1,10,7.3,6,10,6.8,1,1,6.7,2.7,1,7,-0.025340712,0.386745896,-0.434225517,-1.0771,0.65987,-0.28633,-1.70256
Two-Back Task-faces,subject011,-5,4.7,7.7,10,1,1,10,10,6.5,10,5.5,1,1,6.3,3,1,10,-0.025340712,0.386745896,-0.434225517,-0.88515,0.42716,0.87124,-1.91361
Two-Back Task-scenes,subject011,9,8.7,1,10,1,1,7.9,8.2,5.3,10,2.8,1,1,8,5.6,1,10,-0.130999829,0.464204275,-0.426960277,0.0412,0.20453,-0.52752,-1.50616
Two-Back Task-scenes,subject011,11,6.6,1,10,1,1,2.3,10,4,10,2.9,1,1,8.7,2.6,1.1,8.6,-0.130999829,0.464204275,-0.426960277,-0.22472,-0.06789,-0.67121,-2.36181
Finger Tapping Task,subject011,-14,2.4,1,8.1,1,1,1,1,1,10,1,1,1,10,1.7,1,1,-0.090963574,-0.241336366,-0.170440839,-1.29326,-0.25214,-2.18195,-1.84437
Finger Tapping Task,subject011,-14,3.4,1,7,1,1,1,3,1,10,1,1,1,7.5,6.9,1,3.4,-0.090963574,-0.241336366,-0.170440839,-0.88226,-0.37008,-1.87528,-0.79514
Finger Tapping Task,subject011,9,1,1,3.5,1,1,1,8.6,1,10,1,1,1,10,8,1,10,-0.090963574,-0.241336366,-0.170440839,-0.7634,-0.52353,-0.59776,-0.64399
GoNoGo Task,subject011,14,6.6,1,10,1,1,1,1,10,10,10,1,1,10,1,3.3,1,-0.31702636,0.036362577,-0.159410417,-1.28642,2.04447,-2.37177,-2.43119
GoNoGo Task,subject011,-6,7.2,1,10,1,1,1,2.2,5.3,10,1.6,1,1,10,1.6,2.3,2.1,-0.31702636,0.036362577,-0.159410417,-0.79188,0.37873,-2.09771,-2.34069
GoNoGo Task,subject011,14,4.6,1,8,1,1,1,3.5,4.4,10,7.8,1,1,8.1,1,1.5,3.2,-0.31702636,0.036362577,-0.159410417,-1.20253,0.6928,-1.70437,-2.15904
Movie Task-incept,subject012,-14,9.9,8,10,10,1.5,1,7.2,8.4,10,3.4,8.2,3,1,3.8,1,7.5,-0.293453447,0.376771714,0.156545561,0.55122,-0.65805,0.76674,-2.52468
Movie Task-incept,subject012,-14,9.9,8,10,10,1.5,1,7.2,8.4,10,3.4,8.2,3,1,3.8,1,7.5,-0.293453447,0.376771714,0.156545561,0.55122,-0.65805,0.76674,-2.52468
Movie Task-bridge,subject012,10,2.1,9.8,2,3.8,9.3,9.2,1.3,2.8,9.6,1.7,8.5,4.6,1,9.2,1.2,2.4,-0.055046289,0.280933569,0.317858122,-1.0177,-0.17601,0.1722,1.40953
Movie Task-bridge,subject012,10,2.1,9.8,2,3.8,9.3,9.2,1.3,2.8,9.6,1.7,8.5,4.6,1,9.2,1.2,2.4,-0.055046289,0.280933569,0.317858122,-1.0177,-0.17601,0.1722,1.40953
GoNoGo Task,subject012,9,10,9.4,10,10,1,7.7,2.6,10,10,9.8,7.5,2,10,1,9.2,8,-0.31702636,0.036362577,-0.159410417,0.11745,1.78989,0.61355,-2.46035
GoNoGo Task,subject012,-13,8.7,1.5,10,8.5,8.3,9.7,10,4.2,10,3.9,7.1,3.8,7.1,8.8,10,10,-0.31702636,0.036362577,-0.159410417,1.27845,1.0942,0.31026,0.04629
GoNoGo Task,subject012,-11,8,9.2,9,8.2,3.5,2.6,10,1,10,3.3,4,3.8,7,6.8,8.6,8,-0.31702636,0.036362577,-0.159410417,0.5146,0.21084,0.80125,-0.97037
Finger Tapping Task,subject012,-12,9.4,7,9,6.6,1,9,7.9,7.3,10,3.3,8.8,4.1,8.1,3.9,1,7.2,-0.090963574,-0.241336366,-0.170440839,0.62865,0.03217,0.62953,-1.77356
Finger Tapping Task,subject012,-6,7.3,1,8.3,8,3,8.9,10,2.9,8.7,5.1,7.8,9,4.9,8.5,7.7,8.3,-0.090963574,-0.241336366,-0.170440839,1.58435,0.31323,0.00179,0.35731
Finger Tapping Task,subject012,13,2.5,2,7.5,3.8,1.5,3.3,6.5,3.6,7.9,1.5,7.6,2.7,3.3,10,7.6,7.3,-0.090963574,-0.241336366,-0.170440839,0.23192,-0.29119,-0.8212,0.36517
Hard Math Task,subject012,14,4.9,8.6,9,7.5,1,2.4,7.2,6.8,9.4,6.2,3,3.7,7,7.8,7.6,10,-0.275798122,0.402380589,-0.407389088,-0.02132,0.96373,0.44653,-1.02972
Hard Math Task,subject012,-7,8.2,10,5.9,9,1,9.3,8.5,1,8.8,7.1,4.1,4.4,9,8,8.3,7.8,-0.275798122,0.402380589,-0.407389088,0.26015,0.6721,1.24396,-0.08585
Hard Math Task,subject012,12,8,10,3,10,1,9.1,10,1,7.5,8.6,3.3,7.3,10,10,8.2,8.2,-0.275798122,0.402380589,-0.407389088,0.37244,0.90904,1.48788,0.7428
Easy Math Task,subject012,-7,1,1,6.6,9.5,1,1,1,1,1,1,5.6,1,2.9,8.8,1,1,-0.124954138,0.332221971,-0.020870498,-0.80819,-1.46659,-1.51551,0.58299
Easy Math Task,subject012,-11,5.8,8.5,9.7,8.6,1,1,1.5,1,9,8.8,2.5,2.6,9,4.1,9.5,10,-0.124954138,0.332221971,-0.020870498,0.01676,0.93001,-0.28174,-1.42071
Easy Math Task,subject012,-15,6,7.8,9.5,8.3,1,1,8.3,1,8.4,10,1,7.4,8,5.3,10,9.7,-0.124954138,0.332221971,-0.020870498,0.51376,1.10662,0.19003,-0.9336
You Task,subject012,-10,8.3,10,7.5,8.5,1,1,8.9,2.2,8.1,7.1,9,6.8,1,7.4,10,8.1,-0.068702623,0.051618542,0.14160951,1.0981,-0.06954,0.74575,-0.28584
You Task,subject012,14,4.4,9.3,7.9,10,1,1,8.9,2.3,9,2.6,8.1,6.9,4.2,6.2,10,8.6,-0.068702623,0.051618542,0.14160951,0.84186,-0.42101,0.9054,-0.84073
You Task,subject012,-11,1.8,10,8,10,1,8.5,10,6.7,2.6,1.4,10,7.2,2.8,8.4,10,8.8,-0.068702623,0.051618542,0.14160951,0.50956,-0.38055,1.51386,0.66392
Friend Task,subject012,12,4,10,8.2,8.4,1,10,10,3.2,8.2,1,8.6,10,10,8.4,7.3,8.4,0.066229557,0.061472443,0.208842324,1.16607,0.11047,1.09828,0.21636
Friend Task,subject012,7,3.2,10,7,10,1,8.9,10,1,8.9,1,10,9.9,10,7.7,4.6,9.5,0.066229557,0.061472443,0.208842324,1.31465,-0.53917,1.38212,-0.0634
Friend Task,subject012,15,7.7,10,2.4,10,1,10,10,1,8.7,1,9.5,7.2,3.4,7.8,8.4,9.1,0.066229557,0.061472443,0.208842324,0.89269,-1.04232,2.1498,0.29479
Zero-Back Task,subject012,-8,1,1,3.7,7.6,1,10,1,1,8.2,1,8.1,7.4,7.6,9.9,8,8.4,0.092938821,-0.060981931,-0.389395513,0.57882,-0.28466,-0.69157,1.29242
