Task_name,Participant #,Runtime_mod,Absorption_response,Other_response,Problem_response,Words_response,Sounds_response,Images_response,Past_response,Distracting_response,Focus_response,Intrusive_response,Deliberate_response,Detailed_response,Future_response,Emotion_response,Self_response,Knowledge_response,Gradient 1,Gradient 2,Gradient 3,FAC1_1,FAC2_1,FAC3_1,FAC4_1
Zero-Back Task,subject004,6,1.2,1,1.4,1.3,7,9.7,1,1,3.2,1,9.8,1,1,5.1,2.3,1,0.092938821,-0.060981931,-0.389395513,-1.3402,-1.06746,-1.05974,1.44395
Zero-Back Task,subject004,12,4,7,7,7,2,3,10,8,7,4,6,3,10,6,2,3,0.092938821,-0.060981931,-0.389395513,-0.60931,0.50535,0.23982,-1.14531
Zero-Back Task,subject004,8,9,7,8,9,6,10,4,9,9,2,2,4,3,6,2,6,0.092938821,-0.060981931,-0.389395513,-0.44809,0.38431,0.72773,-0.89786
One-Back Task,subject004,8,3,7,7,4,5,2,2,5,3,5,7,5,6,4,7,3,-0.009918255,-0.030028992,-0.537272264,-0.66454,0.62214,-1.07416,0.18367
One-Back Task,subject004,-14,2,7,9,6,9,6,2,4,6,10,4,4,6,3,7,9,-0.009918255,-0.030028992,-0.537272264,-0.66368,1.53898,-0.23508,-0.20738
One-Back Task,subject004,-7,6,10,3,8,2,10,5,1,9,9,9.8,3,2,3,1,2,-0.009918255,-0.030028992,-0.537272264,-0.68113,-0.52635,1.13741,-0.63045
Easy Math Task,subject004,-10,5,4,3,5,3,4,4,2,10,10,3,2,10,7,6,2,-0.124954138,0.332221971,-0.020870498,-1.02325,1.40017,-0.85267,-0.09893
Easy Math Task,subject004,15,3,8,2,8,8,9,8,9,3,10,4,10,5,10,7,6,-0.124954138,0.332221971,-0.020870498,-0.62499,1.90734,0.85859,2.01167
Easy Math Task,subject004,-8,2,2,8,4,7,4,8,9,3,3,3,5,3,6,9,10,-0.124954138,0.332221971,-0.020870498,-0.43116,0.75665,-0.25729,0.26924
Hard Math Task,subject004,-12,3,3,3.4,6,1,5.7,1.7,1.2,5.7,3,10,10,1,8,9.8,2.6,-0.275798122,0.402380589,-0.407389088,0.49706,-0.51213,-1.06527,1.53882
Hard Math Task,subject004,5,1,3,4.5,1,1,9,1,1,2.1,1,10,1,1,5.5,8.6,5.4,-0.275798122,0.402380589,-0.407389088,-0.71178,-1.11313,-0.92186,1.2085
Hard Math Task,subject004,-5,5,10,3,7,10,3,2,8,5,10,4,9,6,6,4,5,-0.275798122,0.402380589,-0.407389088,-0.81086,1.8653,-0.0498,0.73471
Finger Tapping Task,subject004,13,1,6,1,1,1,6,1,1,1.5,1,1,1,1,1.6,1,1,-0.090963574,-0.241336366,-0.170440839,-2.62207,-1.55129,-0.42499,0.07078
Finger Tapping Task,subject004,11,6,4,7,3,6,4,2,9,9,6,3,6,9,10,10,5,-0.090963574,-0.241336366,-0.170440839,-0.21006,2.42654,-1.54352,0.67937
Finger Tapping Task,subject004,11,10,8,4,6,6,3,9,4,9,2,3,3,6,10,6,4,-0.090963574,-0.241336366,-0.170440839,-0.27718,0.447,0.42982,0.16281
GoNoGo Task,subject004,5,2,9,3,3,7,9,3,6,2,8,3,3,3,2,6,2,-0.31702636,0.036362577,-0.159410417,-2.27784,0.91715,0.25394,0.52383
GoNoGo Task,subject004,-12,6,5,5,9,7,6,5,9,4,5,6,8,4,4,10,8,-0.31702636,0.036362577,-0.159410417,0.01531,0.92922,0.41844,0.09873
GoNoGo Task,subject004,-5,9,2,8,5,3,9,3,3,8,3,3,6,9,2,6,9,-0.31702636,0.036362577,-0.159410417,0.45753,0.3307,-0.5639,-1.02368
Hard Math Task,subject005,8,5.3,1,10,8,1,1,1,1,1.8,1,10,4.3,1,6,1.8,10,-0.275798122,0.402380589,-0.407389088,1.1578,-1.85266,-1.30945,-0.11104
Hard Math Task,subject005,-12,4,1,9.1,6.6,1,1,1,1,1,1,8.6,8,1,5,1.5,9.6,-0.275798122,0.402380589,-0.407389088,1.08996,-1.78434,-1.47724,0.17148
Hard Math Task,subject005,-10,9,1,9.5,4.4,1,1.5,7.5,1,1,1,9,5.9,1,4.8,1,8.8,-0.275798122,0.402380589,-0.407389088,1.37838,-1.87527,-0.94529,-0.21559
Easy Math Task,subject005,9,6.2,1,9,5,1,1,6,1,4,1,9.1,8.3,2,5.1,1,9,-0.124954138,0.332221971,-0.020870498,1.4417,-1.64825,-1.0934,-0.29438
Easy Math Task,subject005,-8,4.8,1,4.9,1.4,1,1,5.6,1,1,1,4.9,4.2,6.5,4.1,1,9,-0.124954138,0.332221971,-0.020870498,-0.04651,-1.30869,-1.15509,-0.05122
Easy Math Task,subject005,9,6.5,1,4.8,1,1,5.9,8.7,6.4,6.5,1,4,3.6,2,4,1,6.1,-0.124954138,0.332221971,-0.020870498,-0.51068,-0.87499,-0.2498,-0.83762
Friend Task,subject005,11,8.7,10,9,9,8,7,7,3.1,1,1,2,9,8.8,9,2,8,0.066229557,0.061472443,0.208842324,0.57997,0.25713,0.46163,1.04222
Friend Task,subject005,7,10,9.4,5.5,6.2,7,8.7,9,6.3,6,1,1.7,3.2,7,10,4.6,9.2,0.066229557,0.061472443,0.208842324,-0.20023,0.55884,1.21437,0.47334
Friend Task,subject005,-11,9,9.9,5,5.2,6,9.3,8.9,7.2,2,1,3,3,8.1,9,2.3,6.1,0.066229557,0.061472443,0.208842324,-0.64731,0.36936,0.95598,0.76059
You Task,subject005,-7,5.1,2.4,1,2.1,2,4.5,5.1,2.5,2,1,2,2.7,3,5,10,2.5,-0.068702623,0.051618542,0.14160951,-1.37531,-0.4865,-0.61227,0.77972
You Task,subject005,11,7.5,6.5,1,1.4,2.7,2.7,4.4,4.3,3.7,1,2.8,4.1,4.4,7.5,9.4,4.8,-0.068702623,0.051618542,0.14160951,-0.87696,0.018,-0.43168,0.93648
You Task,subject005,12,9,4.5,2.5,3.2,4.1,2,3.8,8.6,8.8,1.2,2.2,1.6,2.3,5.2,5.9,5.3,-0.068702623,0.051618542,0.14160951,-1.07904,0.12524,-0.20876,-0.87571
Movie Task-incept,subject005,9,9,2,1,8,7.9,8.4,2.3,8.7,9.5,1,2,2.5,1,7.3,1,1.8,-0.293453447,0.376771714,0.156545561,-1.26364,0.03662,0.09004,-0.09905
Movie Task-incept,subject005,9,9,2,1,8,7.9,8.4,2.3,8.7,9.5,1,2,2.5,1,7.3,1,1.8,-0.293453447,0.376771714,0.156545561,-1.26364,0.03662,0.09004,-0.09905
Movie Task-bridge,subject005,-15,6,10,1,5,4.4,8,2,5.2,6.5,1,5.1,5.6,8.8,6.1,3.3,1,-0.055046289,0.280933569,0.317858122,-1.1367,0.27513,0.11952,0.4524
