Task_name,Participant #,Runtime_mod,Absorption_response,Other_response,Problem_response,Images_response,Past_response,Distracting_response,Focus_response,Intrusive_response,Deliberate_response,Detailed_response,Future_response,Emotion_response,Self_response,Knowledge_response,Gradient 1,Gradient 2,Gradient 3
Friend Task,subject017,-7,6,7.7,2,1,3,8.1,6,4.1,2,7,3.8,6,6.1,8,0.066232149,0.061472746,0.208836055
Friend Task,subject018,-8,7.8,9,3.7,4.1,8.1,2.3,3,2.2,8,8,2.6,7.5,7.4,8.1,0.066232149,0.061472746,0.208836055
Friend Task,subject018,-11,8.2,9.2,2.8,4.5,9,3.7,2.7,2.2,7.3,8.1,3,6.9,7.2,9.1,0.066232149,0.061472746,0.208836055
Friend Task,subject019,13,2,10,5.3,7.5,8.2,5.1,3.3,9,5.2,7.7,7.3,10,4.3,7.3,0.066232149,0.061472746,0.208836055
Friend Task,subject019,14,8.4,4.1,4.1,7.4,8.5,10,5.9,3.7,4.3,5,4.9,3.8,1,6.1,0.066232149,0.061472746,0.208836055
Friend Task,subject020,-11,8.3,7.6,3.2,7.6,3.4,10,6.1,9.1,2.8,3,9,7,8.5,2.8,0.066232149,0.061472746,0.208836055
Friend Task,subject020,-15,4.2,4.4,2.7,2.4,9.6,7,10,6.3,10,8.6,9,1,10,4.4,0.066232149,0.061472746,0.208836055
Friend Task,subject021,8,3.6,7.5,3.8,2.8,8.5,4.7,2.6,2.8,6.5,7.4,3.6,8.4,3,7.6,0.066232149,0.061472746,0.208836055
Friend Task,subject021,-8,3.9,7.3,3.3,3.4,7.3,2.8,2,3.7,7.4,6.2,2.2,7.1,3.7,7.4,0.066232149,0.061472746,0.208836055
Friend Task,subject022,-11,10,9.9,1.3,10,10,2,5.9,3.5,3.5,10,10,10,7.2,10,0.066232149,0.061472746,0.208836055
Friend Task,subject022,5,10,10,1,10,6,1.9,3,1.5,9,7,4.5,10,1,9,0.066232149,0.061472746,0.208836055
Friend Task,subject023,-8,8.1,3.6,7.2,5,5.2,9.6,4.1,3.3,8.8,5.7,5.3,6.2,5.4,3.3,0.066232149,0.061472746,0.208836055
Friend Task,subject023,9,9,5.1,4,6.6,4.5,8.4,6,6.4,9,5.1,10,8.2,10,6.9,0.066232149,0.061472746,0.208836055
Friend Task,subject024,-5,10,10,1,9.6,6.7,3.3,9.4,2.3,2.5,2.9,2,7.1,6.8,8.8,0.066232149,0.061472746,0.208836055
Friend Task,subject024,-11,9,10,1,9,7,7.9,7,4.5,2.5,8.9,1.9,3,9.5,7.8,0.066232149,0.061472746,0.208836055
Friend Task,subject025,-9,6.8,7.5,3.6,4,7.8,3.4,6.7,2.2,3,5.4,3,6.4,3.1,7.4,0.066232149,0.061472746,0.208836055
Friend Task,subject025,13,7.2,7.2,4.3,6.8,3.7,4,4.1,4.5,6.6,3.1,3.1,5.4,3,6.8,0.066232149,0.061472746,0.208836055
Friend Task,subject026,-7,4,10,1,10,8,2,2,2,8.2,10,3,8,5.2,10,0.066232149,0.061472746,0.208836055
Friend Task,subject026,-11,4,10,5,8,7,3,2.4,1,9.4,6.8,5.6,7,4.8,8.2,0.066232149,0.061472746,0.208836055
Friend Task,subject027,15,9.9,10,1,6.3,8.5,8,1,1,8.5,9.7,1.6,7.3,2.2,10,0.066232149,0.061472746,0.208836055
Friend Task,subject027,10,6.3,9.9,1,8.3,6.8,4.1,1.4,7.7,5.6,10,1,5.2,1.9,10,0.066232149,0.061472746,0.208836055
Friend Task,subject028,-13,4.8,3,2.1,2.2,7.9,7.1,9,8,6.1,3.6,6.9,2,3.7,4,0.066232149,0.061472746,0.208836055
Friend Task,subject028,-13,7,8,5,4,4,2,9,10,5,9,5,9,6,6.6,0.066232149,0.061472746,0.208836055
Friend Task,subject029,-5,8,9.8,1,1,8.4,1.5,1,1,10,8.8,6.5,10,1,8.6,0.066232149,0.061472746,0.208836055
Friend Task,subject029,13,10,9.7,1.9,1,8.9,1,1,1.8,9.5,6.7,5.6,10,1.3,8.8,0.066232149,0.061472746,0.208836055
Friend Task,subject030,5,8,10,1,5.9,10,1,1,1,10,7,1,7.1,9.7,10,0.066232149,0.061472746,0.208836055
Friend Task,subject030,-7,10,10,1,5.4,10,1,1,6,8,6,1,3.2,7,10,0.066232149,0.061472746,0.208836055
Friend Task,subject031,14,8.5,9.8,1.3,8.8,9.2,1.7,2.4,2,4.2,9,3.7,7.8,1.8,10,0.066232149,0.061472746,0.208836055
Friend Task,subject031,-6,7.8,9.8,1.6,7.6,9.5,2.6,2.5,2.2,7,3.1,3,9.4,1.9,9.2,0.066232149,0.061472746,0.208836055
Finger Tapping Task,subject001,-8,1.5,3.5,10,4.7,1,7.9,3.9,1.4,2.5,4.2,1,1.5,1,8,-0.090963611,-0.241336271,-0.170440706
Finger Tapping Task,subject001,10,10,9.4,9.1,6,9.9,10,10,9.6,1.6,4.3,8.4,1.7,9.7,8.2,-0.090963611,-0.241336271,-0.170440706
Finger Tapping Task,subject002,-8,6.6,1.8,4,3.3,2.8,6.5,8,1.7,4,1.9,8.6,7,9.2,7,-0.090963611,-0.241336271,-0.170440706
Finger Tapping Task,subject002,9,7,5.8,2.8,7.9,4,7,7,1.6,2.4,2.4,7.9,7.3,8,4,-0.090963611,-0.241336271,-0.170440706
Finger Tapping Task,subject003,-15,2.9,1,2.3,1,1,2.1,7.2,5.7,4.6,2,7.4,4.3,6.5,8.8,-0.090963611,-0.241336271,-0.170440706
Finger Tapping Task,subject003,-7,8.3,1,5.9,1,7,1,8.9,2,8.2,4.3,8.2,5.3,7,3.9,-0.090963611,-0.241336271,-0.170440706
Finger Tapping Task,subject004,5,1.6,2,1.6,2.9,3.6,1,10,1.7,1,3.3,2,6.8,3.1,2.2,-0.090963611,-0.241336271,-0.170440706
Finger Tapping Task,subject004,-5,2.5,4.2,3.8,6.7,7.9,2.9,8.2,2.5,1.8,3.8,2,5,1.3,9,-0.090963611,-0.241336271,-0.170440706
Finger Tapping Task,subject005,-6,6.6,1,9.4,1,1,4.3,1,7.2,4.5,7.1,1,4.8,3.8,2.1,-0.090963611,-0.241336271,-0.170440706
Finger Tapping Task,subject005,-5,8.6,1,10,1,6,1,1,2,8.4,8.4,1,6.8,3.6,7.3,-0.090963611,-0.241336271,-0.170440706
Finger Tapping Task,subject006,8,1,6.1,1,1,1,1,1,1,5,1,3.6,4.4,4.7,3,-0.090963611,-0.241336271,-0.170440706
Finger Tapping Task,subject006,8,1,1,1,1,1,1,1,1,1,1,1,3.6,1,8.3,-0.090963611,-0.241336271,-0.170440706
Finger Tapping Task,subject007,-11,1.4,1,7,1.1,1.7,1.7,2,1.5,9.7,5.6,1.5,5.3,5,3.8,-0.090963611,-0.241336271,-0.170440706
Finger Tapping Task,subject007,5,5.3,1.6,10,1.5,6.7,2.2,6,4.2,7.2,5,4,5.2,5.7,8.6,-0.090963611,-0.241336271,-0.170440706
Finger Tapping Task,subject008,-15,8.7,3.3,7.4,6.9,3.7,3.4,3.4,3.6,8,3.9,5.3,7.5,7.5,6.2,-0.090963611,-0.241336271,-0.170440706
Finger Tapping Task,subject008,-11,7.4,3.2,7.3,3.3,5.4,3.3,4,3.2,7.9,4.6,3.9,8,7.9,5.4,-0.090963611,-0.241336271,-0.170440706
Finger Tapping Task,subject009,-15,1.9,1,1,1,1,1.8,3.6,8.4,1.8,1,1,1.6,1.2,1,-0.090963611,-0.241336271,-0.170440706
Finger Tapping Task,subject009,12,2.4,1,1.1,1,1,7,2.7,3.1,1,1,1.2,2.3,1,3.9,-0.090963611,-0.241336271,-0.170440706
Finger Tapping Task,subject010,6,1,1,1.1,5.4,1.8,1.7,10,1,10,1,1.6,2.9,1.9,5.2,-0.090963611,-0.241336271,-0.170440706
Finger Tapping Task,subject010,-11,8.5,1.6,1,5,1.2,1,10,1,10,10,2.1,2.1,1.5,4.9,-0.090963611,-0.241336271,-0.170440706
Finger Tapping Task,subject011,-14,3.3,1.9,4,8.5,4.8,4.5,1.1,2.4,4.2,7.2,3,7.4,2.3,9.4,-0.090963611,-0.241336271,-0.170440706
Finger Tapping Task,subject011,11,3.7,4.2,3.5,5.6,2.8,4.9,4,4.9,4.7,6,6.2,7.4,3.9,8.2,-0.090963611,-0.241336271,-0.170440706
Finger Tapping Task,subject012,6,8.8,1,1,5.4,1.2,1,1,1.1,5.5,2.2,3.2,10,6.3,3.3,-0.090963611,-0.241336271,-0.170440706
Finger Tapping Task,subject012,13,8.6,1,3.4,5.5,4.7,1,1,1,7.5,4.5,3.9,8,4,6.8,-0.090963611,-0.241336271,-0.170440706
Finger Tapping Task,subject013,7,3.2,6.2,4.6,6.1,5,2.9,8.5,1.7,4.7,5.8,1,6.4,7.3,6.9,-0.090963611,-0.241336271,-0.170440706
Finger Tapping Task,subject013,11,6,6.8,6.2,5,3.2,8,7.1,3.1,2.2,7.3,5.3,5.1,7.1,6,-0.090963611,-0.241336271,-0.170440706
Finger Tapping Task,subject014,15,2.2,7.9,7.9,6.8,3.3,3.7,8,4.8,5.2,3.4,8,5,3.6,7.7,-0.090963611,-0.241336271,-0.170440706
Finger Tapping Task,subject014,5,5.8,8.3,3.7,4,8.2,7.4,9.5,3,5.4,7,4,6.2,5.9,8.6,-0.090963611,-0.241336271,-0.170440706
Finger Tapping Task,subject015,-10,10,1,1,10,1,9,4,7,1,1,2,5.5,3.7,4.9,-0.090963611,-0.241336271,-0.170440706
Finger Tapping Task,subject015,-7,8.9,1,1,10,1,7.7,5.2,8,1,1.1,1,5,8.5,1,-0.090963611,-0.241336271,-0.170440706
Finger Tapping Task,subject016,14,8.1,3.6,1.5,2.1,2.7,7.6,8,2,7,4.7,3,9.1,7.8,8,-0.090963611,-0.241336271,-0.170440706
Finger Tapping Task,subject016,10,7.3,5.2,1.7,2.7,3.4,8.2,6.9,4.4,2.9,8,7,5.7,5.9,7.9,-0.090963611,-0.241336271,-0.170440706
Finger Tapping Task,subject017,-11,8.8,5.3,2,5,1,4.9,5.1,6.3,7.8,2,5,7.7,2,3,-0.090963611,-0.241336271,-0.170440706
Finger Tapping Task,subject017,8,8.4,2,3.9,2.7,4.9,6.6,4,4.9,7.7,6.4,4.3,6,3.3,6.3,-0.090963611,-0.241336271,-0.170440706
Finger Tapping Task,subject018,13,3.7,2.3,2.8,8.3,2,6.1,3.8,2.3,3,3.1,4.5,5.8,6.2,7.5,-0.090963611,-0.241336271,-0.170440706
Finger Tapping Task,subject018,13,2,2.9,2.4,5.8,3.9,2.3,3.3,1.8,2.8,3.8,3,7.9,3.3,5.4,-0.090963611,-0.241336271,-0.170440706
Finger Tapping Task,subject019,6,6.8,9,2,9.9,9.8,9,7.4,2.5,3,3.4,1,3,4,8,-0.090963611,-0.241336271,-0.170440706
Finger Tapping Task,subject019,12,10,3.5,2,9,8.7,10,9.3,9,3,1.1,4.3,4.7,5.8,8.2,-0.090963611,-0.241336271,-0.170440706
Finger Tapping Task,subject020,-13,2.8,3.6,6,2.4,3.5,4.8,3,2.2,8.1,1.4,2.3,5.5,9,2.5,-0.090963611,-0.241336271,-0.170440706
Finger Tapping Task,subject020,-10,2.6,8.4,10,2.3,4.7,3,7.8,8,3,1.3,7.6,10,4.3,6.5,-0.090963611,-0.241336271,-0.170440706
Finger Tapping Task,subject021,13,9,6.8,6.7,3.9,6.7,9.7,2.9,5.5,3.4,8.2,8.7,8,6.9,7.3,-0.090963611,-0.241336271,-0.170440706
Finger Tapping Task,subject021,11,8.6,7.1,7.3,3.3,3,6.7,7.4,5.8,3.9,6.3,7.9,4.2,7,6.4,-0.090963611,-0.241336271,-0.170440706
Finger Tapping Task,subject022,-9,10,3.2,3.2,10,2.5,10,10,1.7,3.8,7,8.5,9,10,6.9,-0.090963611,-0.241336271,-0.170440706
Finger Tapping Task,subject022,-13,10,1,1,8.7,1,10,7.8,1.9,4.1,5.5,8.1,10,10,3.1,-0.090963611,-0.241336271,-0.170440706
Finger Tapping Task,subject023,8,7,8,4,6,6,6,9,3,9,7,6,4,7,5,-0.090963611,-0.241336271,-0.170440706
Finger Tapping Task,subject023,10,4,10,10,4.6,7.9,2.5,9.4,8.4,2,3.6,10,6.3,3.7,6.6,-0.090963611,-0.241336271,-0.170440706
Finger Tapping Task,subject024,-5,7.9,1,8.8,10,2.1,6.1,1.9,2.6,8.2,2,10,5.2,6.8,8.2,-0.090963611,-0.241336271,-0.170440706
Finger Tapping Task,subject024,-12,8.2,8.3,6.5,10,2.9,7.7,8.4,3.7,8,5.5,9.1,6.1,8.1,2.9,-0.090963611,-0.241336271,-0.170440706
Finger Tapping Task,subject025,5,2.4,2,2.7,3.6,3.6,3.9,6.5,6.9,1.9,2,3.6,3.9,6,3.7,-0.090963611,-0.241336271,-0.170440706
Finger Tapping Task,subject025,-5,8.4,6.8,2.2,3.1,10,10,2.9,8.9,3.9,8.7,1,4.3,1,7.3,-0.090963611,-0.241336271,-0.170440706
Finger Tapping Task,subject026,11,3,2,2,2,3,1.8,3,1,3.4,2,1,4,1,2.6,-0.090963611,-0.241336271,-0.170440706
Finger Tapping Task,subject026,11,6.6,3,2,2.8,2,7,6.8,5.8,2,2,4,5.6,3.6,3,-0.090963611,-0.241336271,-0.170440706
Finger Tapping Task,subject027,15,5,3.3,8.6,9.3,5.5,8.2,7.2,3,9,9.7,7.8,5.3,3.9,9.4,-0.090963611,-0.241336271,-0.170440706
Finger Tapping Task,subject027,-15,9.1,1,2.5,4,5,8.8,9.4,5.4,7,9.9,1.1,5.5,4.8,9,-0.090963611,-0.241336271,-0.170440706
Finger Tapping Task,subject028,-5,4,6,2,10,3,8,9,2,2,2,3,3,2,8,-0.090963611,-0.241336271,-0.170440706
Finger Tapping Task,subject028,10,4,9,10,7,6,8,2,8,8,2,6,10,8,4,-0.090963611,-0.241336271,-0.170440706
Finger Tapping Task,subject029,8,9.9,1.2,2,3,3.6,3,1.8,1.5,8,8,4,9.7,8,9,-0.090963611,-0.241336271,-0.170440706
Finger Tapping Task,subject029,-7,5,2.5,6,1,1.5,1.3,3,2.3,7.8,8,3,7.9,1,6.3,-0.090963611,-0.241336271,-0.170440706
Finger Tapping Task,subject030,6,10,8.7,1.5,1.5,10,10,1,1.6,5.2,10,7.9,8.8,10,10,-0.090963611,-0.241336271,-0.170440706
Finger Tapping Task,subject030,-8,8,9,3.9,3,9,9.2,1.6,8.5,3,3,6,6,2,9,-0.090963611,-0.241336271,-0.170440706
Finger Tapping Task,subject031,-10,8.8,1,10,10,1,1,10,3.2,1.7,1.7,10,8.8,7.7,1.8,-0.090963611,-0.241336271,-0.170440706
Finger Tapping Task,subject031,8,1.2,1,10,10,1,1.1,10,7.1,2.9,1.5,9.2,8.7,2.1,1.7,-0.090963611,-0.241336271,-0.170440706
Easy Math Task,subject001,5,1.7,7.6,2.2,3.8,2,8.7,7.9,8,6.8,4,3.5,1.8,5,7.6,-0.124954138,0.332221971,-0.020870498
Easy Math Task,subject001,-5,10,3,2,5.1,2,9,3,3.9,8.8,9,2.1,7.2,6.6,3.1,-0.124954138,0.332221971,-0.020870498
Easy Math Task,subject002,-6,10,1.4,7.3,10,6.8,3.4,1.6,3,8.5,6.6,6.8,7.9,6,10,-0.124954138,0.332221971,-0.020870498
Easy Math Task,subject002,-14,9.5,3.4,8,10,7.1,2.5,1.9,1,8.7,7.1,8.4,10,3,6.4,-0.124954138,0.332221971,-0.020870498
Easy Math Task,subject003,5,8.5,1,10,1,1.7,1.1,10,1,10,8.6,1.7,5.5,1,10,-0.124954138,0.332221971,-0.020870498
Easy Math Task,subject003,-13,8.2,7,5.8,1,1,1.8,5.7,1,4.8,4.4,7.8,6,7.9,4.2,-0.124954138,0.332221971,-0.020870498
Easy Math Task,subject004,-10,6.5,1.9,8,10,2,2,9.8,1.6,8.8,9.5,3.3,5.4,2,9.1,-0.124954138,0.332221971,-0.020870498
Easy Math Task,subject004,-15,7.5,2.5,8.4,10,1.7,2,10,2.9,10,8.8,2.4,5.3,1.8,9.1,-0.124954138,0.332221971,-0.020870498
Easy Math Task,subject005,8,10,1,10,8.8,10,1,1,1,10,8.7,1,10,1,10,-0.124954138,0.332221971,-0.020870498
Easy Math Task,subject005,-12,10,1,10,10,10,1,1,1,10,9,1,8.2,1,10,-0.124954138,0.332221971,-0.020870498
Easy Math Task,subject006,-10,8,1,1,9,1,9,1.8,1,4,1,4,2.5,9,1,-0.124954138,0.332221971,-0.020870498
Easy Math Task,subject006,-9,7.7,1,1,5.3,1,4.9,1,1,3,1,1,4.1,1,1,-0.124954138,0.332221971,-0.020870498
Easy Math Task,subject007,12,9.1,2.5,6.8,1,6.6,6.4,6.2,4.1,3.7,2.9,3.5,7.5,1.8,10,-0.124954138,0.332221971,-0.020870498
Easy Math Task,subject007,5,6.6,7,5.5,2,7.8,9.7,7,6.7,3,4,6.8,5.7,5,10,-0.124954138,0.332221971,-0.020870498
Easy Math Task,subject008,-6,9,1,7.1,9.6,8,1,1,5.5,9,7,6.8,7.5,1,6,-0.124954138,0.332221971,-0.020870498
Easy Math Task,subject008,-13,7,5.5,6.2,7.2,5.3,3.8,10,6.1,6.4,7,5.7,7.3,7.2,5.7,-0.124954138,0.332221971,-0.020870498
Easy Math Task,subject009,7,1,1,10,5,1,3,1.6,2,10,10,1,6.3,1,10,-0.124954138,0.332221971,-0.020870498
Easy Math Task,subject009,10,3.9,1,10,5.3,1,1.6,1.3,7,10,10,1,5.6,1,10,-0.124954138,0.332221971,-0.020870498
Easy Math Task,subject010,-7,8.7,1.4,10,5.3,1.3,1,10,1,5.1,6,1,7,1.4,10,-0.124954138,0.332221971,-0.020870498
Easy Math Task,subject010,14,10,2.2,10,5.4,1.6,1,10,1,10,10,1,6,1.7,10,-0.124954138,0.332221971,-0.020870498
Easy Math Task,subject011,-11,5.4,1.7,9.8,8,3,2.8,1.7,3.6,9.2,6.9,1.4,8.7,2.4,7,-0.124954138,0.332221971,-0.020870498
Easy Math Task,subject011,11,7.3,2.8,8.9,7.5,2.1,2.7,3,3.9,6.8,6,3.8,7.5,7,9.9,-0.124954138,0.332221971,-0.020870498
Easy Math Task,subject012,-13,10,1,9.8,9.1,6.5,1,1,1,9,9,1,8,1.8,10,-0.124954138,0.332221971,-0.020870498
Easy Math Task,subject012,-8,9.3,1,9.9,7,7.2,1.3,1,1,9.5,9,1,10,1,9.9,-0.124954138,0.332221971,-0.020870498
Easy Math Task,subject013,8,2.8,6.8,2,6.3,5.5,3.7,7.7,3.3,3.1,8,2.3,5.8,6.6,4.8,-0.124954138,0.332221971,-0.020870498
Easy Math Task,subject013,9,6.9,5.5,4.8,6.3,3.8,3.1,4.3,4.2,4.3,6,5,7,6,6.9,-0.124954138,0.332221971,-0.020870498
Easy Math Task,subject014,7,6.9,1,10,1,8.9,1,9.1,2,9.3,9,9.2,5.8,3.3,10,-0.124954138,0.332221971,-0.020870498
Easy Math Task,subject014,6,7,1,9.5,2,9.4,1,9.4,2.5,6.1,8.8,8.1,6.1,3.5,8.5,-0.124954138,0.332221971,-0.020870498
Easy Math Task,subject015,-9,2.8,2.8,1,10,1,6.7,4,4.6,1,1,3,5.1,5.5,7,-0.124954138,0.332221971,-0.020870498
Easy Math Task,subject015,-6,8.1,4,1,10,1,8.6,8.7,10,1,1,7.3,1.3,10,8,-0.124954138,0.332221971,-0.020870498
Easy Math Task,subject016,11,7.8,1.1,8.9,8.3,1,2.7,2.7,1.4,8.6,2,1.7,2.4,1,10,-0.124954138,0.332221971,-0.020870498
Easy Math Task,subject016,9,3.1,2.9,2.2,9,2.2,2.9,9,2.3,2.8,2.4,2.1,10,2,7.7,-0.124954138,0.332221971,-0.020870498
Easy Math Task,subject017,12,7.8,8,2,2.6,2,7.6,2,4,4,4.9,6.5,7.4,7.4,6,-0.124954138,0.332221971,-0.020870498
Easy Math Task,subject017,-8,5.1,6.9,3.3,4.9,6.3,6.8,4.7,4.7,5.7,3.3,5.2,7.2,6.9,6.4,-0.124954138,0.332221971,-0.020870498
Easy Math Task,subject018,8,5,7,3.5,8,4,3,5,3,5,7,5,8,6,4,-0.124954138,0.332221971,-0.020870498
Easy Math Task,subject018,6,4.1,5.1,3.3,9.1,4.7,4.7,3.3,2.2,5.4,6,4,8,6.1,7.9,-0.124954138,0.332221971,-0.020870498
Easy Math Task,subject019,14,10,2.2,3.9,8.6,3,4.8,1,7.5,7,5,8.2,3.8,7.9,4,-0.124954138,0.332221971,-0.020870498
Easy Math Task,subject019,-12,5,8.3,5.3,8,2.4,8.5,2,6.3,7,2.7,8.9,3.7,8.1,6.9,-0.124954138,0.332221971,-0.020870498
Easy Math Task,subject020,-12,6.9,7,4.1,10,10,9,7.7,1,1,1.1,1,7.9,8.8,10,-0.124954138,0.332221971,-0.020870498
Easy Math Task,subject020,-7,8.6,2,2.4,2.9,4,9,8,1,7.5,6.1,1,8.6,8.1,7.7,-0.124954138,0.332221971,-0.020870498
Easy Math Task,subject021,-5,7.2,6.9,7.2,3.1,6.4,7,2.1,3.2,2.8,7,7.1,6.7,7.4,7.3,-0.124954138,0.332221971,-0.020870498
Easy Math Task,subject021,-15,8.6,7.2,6.6,6.5,6.7,7.3,3.1,6,3.2,6.8,7.9,7,7.2,7.7,-0.124954138,0.332221971,-0.020870498
Easy Math Task,subject022,15,7,2.8,2.4,5,2,3.1,7.3,8.2,9.1,1.7,7.8,10,10,3.7,-0.124954138,0.332221971,-0.020870498
Easy Math Task,subject022,-15,8.9,8.3,1.1,8.6,1.8,4.5,8.4,1.8,9,2.7,10,7.7,10,2.1,-0.124954138,0.332221971,-0.020870498
Easy Math Task,subject023,-14,1.1,6.5,1,3.8,3.7,6.4,1,1.6,1,6.3,5.7,6.3,4.7,2,-0.124954138,0.332221971,-0.020870498
Easy Math Task,subject023,-6,2.3,4.6,4.6,7.2,6.1,6.2,4.3,5.7,4.8,4.2,6.6,6.7,3,1.5,-0.124954138,0.332221971,-0.020870498
Easy Math Task,subject024,-11,10,1,10,10,1.9,1,9.3,1.1,10,10,1,5.3,1,10,-0.124954138,0.332221971,-0.020870498
Easy Math Task,subject024,8,9.7,1,9.5,10,1,1,10,8.4,10,9.9,1,5.2,1,10,-0.124954138,0.332221971,-0.020870498
Easy Math Task,subject025,-5,7.3,2.5,3.5,4.1,3.9,8,3,2.8,3.7,4,3.8,6.9,3.9,6.9,-0.124954138,0.332221971,-0.020870498
Easy Math Task,subject025,-9,6.7,8.3,4.4,4.3,7,7.2,3.3,7,2.3,7.2,4.3,5.1,2.8,4.3,-0.124954138,0.332221971,-0.020870498
Easy Math Task,subject026,-14,4.8,1,10,3.4,6,1,8,1,9.4,8,2.6,6.2,8,10,-0.124954138,0.332221971,-0.020870498
Easy Math Task,subject026,-15,8,2.8,10,1,4,2.4,2,4,10,7.2,3.4,7.6,3,10,-0.124954138,0.332221971,-0.020870498
Easy Math Task,subject027,7,7.2,4.1,7.1,10,7,7.2,6.1,5,8.1,10,8.5,6.3,2,9.4,-0.124954138,0.332221971,-0.020870498
Easy Math Task,subject027,9,8.6,5.1,7,10,6.6,8.5,1.9,5.4,6.2,9.6,6.4,5,8.6,9.1,-0.124954138,0.332221971,-0.020870498
Easy Math Task,subject028,-11,8,6,10,6,10,4,3,9,9,5,8,9,9,8,-0.124954138,0.332221971,-0.020870498
Easy Math Task,subject028,-7,9,4,6,4,3,10,6,6,10,4,9,8,6,5,-0.124954138,0.332221971,-0.020870498
Easy Math Task,subject029,-12,10,8,10,5,2,5.7,3,1,9,6.6,1.7,5.4,1.6,3,-0.124954138,0.332221971,-0.020870498
Easy Math Task,subject029,6,8.5,1.5,9,5.4,1.1,5,1.5,2.3,9.8,6.7,8.5,7.8,2.9,6.5,-0.124954138,0.332221971,-0.020870498
Easy Math Task,subject030,6,8.4,10,1,8.8,10,7.2,1,9.9,5,8.6,8,2.3,8.6,10,-0.124954138,0.332221971,-0.020870498
Easy Math Task,subject030,12,10,10,2.5,4.4,10,10,1,9.1,4.1,6.8,10,4.4,10,10,-0.124954138,0.332221971,-0.020870498
Easy Math Task,subject031,-6,8.4,1,9.4,3.9,6.3,1.6,9.5,1.2,7.1,8.6,1.1,6.6,1.2,7.6,-0.124954138,0.332221971,-0.020870498
Easy Math Task,subject031,12,9.1,1,10,3.1,1.4,1.7,10,1.4,5.1,7.3,1.6,7.6,1,9.4,-0.124954138,0.332221971,-0.020870498
