Task_name,Participant#,Runtime_mod,Absorption_response,Other_response,Problem_response,Words_response,Sounds_response,Images_response,Past_response,Distracting_response,Focus_response,Intrusive_response,Deliberate_response,Detailed_response,Future_response,Emotion_response,Self_response,Knowledge_response,Gradient1,Gradient2,Gradient3,FAC1_1,FAC2_1,FAC3_1,FAC4_1
You Task,017,11,5.90000000000001,8,3.3,8.7,5.6,1,4.50000000000002,1,1,3.00000000000001,5.6,1.9,1,5.50000000000001,10,10,-.068702623,.051618542,.14160951,-.605515845178116,-1.10018782456332,1.36048309089881,-1.04587988443459
You Task,017,13,8.09999999999999,5.40000000000001,1,10,7.29999999999999,1,9.49999999999999,1,3.2,6.50000000000001,3.1,2.5,2,5.50000000000002,9,9.29999999999999,-.068702623,.051618542,.14160951,-.832803618129537,-.564040933632471,1.78840873119632,-.616807610835895
You Task,017,-10,6.6,1,1,10,6.30000000000001,1,6.3,1,3.5,1,5.50000000000001,4.6,1,5,10,6.8,-.068702623,.051618542,.14160951,-.20105812744081,-1.33053419186048,.923248074979458,-.759930184713902
Friend Task,017,13,10,10,1,7.40000000000001,7.00000000000001,7.59999999999999,9,1,5.6,3.3,8.4,4.90000000000001,1,5.8,1.1,10,.066229557,.061472443,.208842324,.381814743122208,-.697625069031541,1.60214169576584,-1.15553242551077
Friend Task,017,11,7.39999999999999,10,1,10,3,8.6,7.90000000000001,1,5.60000000000001,3.60000000000002,5.7,6.80000000000001,1,8.59999999999999,3.10000000000001,10,.066229557,.061472443,.208842324,.248861348071768,-.603912535140535,1.79756007507374,-1.514140026596
Friend Task,017,-13,10,10,2,10,2,9.3,2.9,1.50000000000001,5.50000000000002,2.8,6.10000000000001,6.89999999999999,1,5.20000000000001,1,10,.066229557,.061472443,.208842324,.393137616772991,-.977992797916834,1.19766452106677,-.845489055532862
Two-Back Task-faces,017,-10,10,8,8.89999999999999,10,1.20000000000001,10,8,1,2,1.80000000000001,8.39999999999999,10,8.20000000000001,5.5,5.3,10,-.025340712,.386745896,-.434225517,1.93280114160205,-.437449259943162,.835425740956833,-.296085261918451
Two-Back Task-faces,017,8,9.49999999999999,7.69999999999999,10,10,1,8.6,9,1,8.7,2,10,10,10,5.60000000000002,5.8,10,-.025340712,.386745896,-.434225517,2.12184762863515,-.55566173260611,.94590578973883,.775792780527326
Two-Back Task-scenes,017,-15,10,1,10,10,1,7.79999999999999,7.39999999999999,2.20000000000001,9,1.80000000000001,10,8.59999999999999,8.19999999999999,5.00000000000002,2.5,7.49999999999999,-.130999829,.464204275,-.426960277,2.16451349942483,-.938435390405515,-.174886628869564,1.22334082780879
Two-Back Task-scenes,017,12,10,1,8.09999999999999,10,1,9.49999999999999,7.49999999999999,1,6.4,2.4,9,9.99999999999999,8,5.6,5.7,10,-.130999829,.464204275,-.426960277,2.25874676678259,-.6695391409995,.281358954119287,.447888728617576
Easy Math Task,017,-15,10,1,10,10,1,1,7.49999999999999,1,9,1,10,7.90000000000001,1,2.70000000000001,6.4,10,-.124954138,.332221971,-.020870498,1.68317918356514,-2.66159711330858,1.00637793001127,1.38393130710371
Easy Math Task,017,-6,9,10,10,10,1,1,10,7.49999999999999,6.50000000000001,8.6,4.8,9.2,8.49999999999999,1.8,10,8,-.124954138,.332221971,-.020870498,-.10222330758953,-.0991401181992584,1.69291757684853,2.0993783403297
Easy Math Task,017,-6,10,1,10,10,1,3,8.19999999999999,1,8,1,10,10,1,3,3.10000000000001,10,-.124954138,.332221971,-.020870498,2.08545151101895,-2.51558339386234,.813956939528665,1.08660450930763
Hard Math Task,017,-11,10,1,10,10,1,1,6.40000000000001,1,10,1,10,10,1,1,2.3,8.69999999999999,-.275798122,.402380589,-.407389088,1.83217502256639,-2.8130402243447,.560230644672341,1.70028236234162
Hard Math Task,017,5,3.1,5.70000000000001,10,10,1,6.50000000000001,10,4.50000000000002,10,10,10,4.00000000000001,1,1,7.29999999999999,7.19999999999999,-.275798122,.402380589,-.407389088,-.401336492977242,-1.15319835304328,1.63960361352815,1.67538856203853
Hard Math Task,017,-5,10,1,10,10,1,4,10,2.20000000000001,10,1,10,10,1,3.2,4.1,9.99999999999999,-.275798122,.402380589,-.407389088,1.94963284006926,-2.40436140746029,1.19566831486698,1.35669235927916
Reading Task,017,5,2.8,1.1,1,10,1,3.8,6.50000000000001,1,8.3,2.9,3.10000000000002,5.00000000000001,1,7.40000000000001,6.3,9.39999999999999,-.19586954,-.014883893,.326889586,-.486569292219682,-1.52936817700775,1.14773397199351,-.479725902309778
Reading Task,017,-12,2.7,5.9,1,10,5,5.6,7,1,6.2,1.7,3.30000000000001,3.10000000000002,1,8.09999999999999,2.1,10,-.19586954,-.014883893,.326889586,-.667697993749656,-1.11766304193033,1.32182716370185,-1.22538882998812
Reading Task,017,11,7.4,1,1,10,1,8.29999999999999,7.10000000000001,1,6.1,3.70000000000002,1.9,4.1,1,6.49999999999999,1,10,-.19586954,-.014883893,.326889586,-.223104260025907,-1.30902731717702,.957895294874928,-.554080914208853
Memory Task,017,11,3.1,10,1,8.49999999999999,8,8.20000000000001,9.99999999999999,4.20000000000002,3.1,1,8.8,8,1,10,9.79999999999999,10,-.036691414,.115884583,.323863964,.26574703483165,.0936870038526313,2.11762779001908,-2.30414913539508
Memory Task,017,5,8.30000000000001,7.39999999999999,7.1,9.99999999999999,5.40000000000002,10,10,1,5.9,3.30000000000001,8,8.09999999999999,2.8,2.20000000000001,10,10,-.036691414,.115884583,.323863964,.708577969015627,-.754276030388819,2.05208641583175,.0778379521134252
Memory Task,017,6,3,8.7,6.89999999999999,10,1,3,6.1,2.80000000000001,4.20000000000001,4.6,3.7,8.8,10,1,10,5.80000000000001,-.036691414,.115884583,.323863964,-.571923772663218,-.395004609186562,.865466468403653,.870189765738467
One-Back Task,017,12,10,1,7.70000000000001,10,1,4.7,4.80000000000001,1,10,1,10,10,4.00000000000001,6.3,1.7,8.59999999999999,-.009918255,-.030028992,-.537272264,2.30185454888628,-1.58845579155927,-.0876815019041565,.676723763341358
One-Back Task,017,-7,10,1,7.29999999999999,10,1,2.60000000000001,6.40000000000001,1,10,1,10,10,1,7.50000000000001,1.80000000000001,10,-.009918255,-.030028992,-.537272264,2.30911811998175,-2.05543875269512,.448079699271614,.417737140077194
One-Back Task,017,8,9.59999999999999,1,9.09999999999999,10,1,2.1,4.9,1,10,1,10,10,6.2,8,2.1,8,-.009918255,-.030028992,-.537272264,2.54204440040797,-1.355731339427,-.467861518723245,.815843240073732
Zero-Back Task,017,-12,5.2,1,8,7.69999999999999,1,7.70000000000001,10,6.3,4,6.5,2.8,2.80000000000002,7.6,4.70000000000001,4.3,10,.092938821,-.060981931,-.389395513,-.403343662634939,-.251448393027954,.521065572396712,1.00892736448809
Zero-Back Task,017,10,3.10000000000001,1,2.5,10,1,8.2,7.00000000000001,1,4.8,7.3,2.9,2.3,7.5,4.60000000000001,5,8.7,.092938821,-.060981931,-.389395513,-.756883588787366,-.365871049848908,.48874308671193,.0325684218459828
Zero-Back Task,017,13,2,1,1.7,10,1,6.30000000000001,3.8,3.20000000000002,4.60000000000001,8.39999999999999,1,2.70000000000002,4.7,2.3,9.49999999999999,2.6,.092938821,-.060981931,-.389395513,-1.97282401746689,-.106050407978588,.132536941284254,.298973389817817
GoNoGo Task,017,8,3.40000000000002,1,7.39999999999999,8,1,5.9,3.60000000000001,7.3,2.9,8.79999999999999,3.1,1,1,1.70000000000001,8.59999999999999,3.2,-.31702636,.036362577,-.159410417,-1.7435445452203,-.386249022767085,-.0821704533915498,.960199704456439
GoNoGo Task,017,-9,8.69999999999999,1,5.40000000000001,6.1,1,10,7.3,1,10,1,10,7.1,1.1,5.6,1,10,-.31702636,.036362577,-.159410417,1.57836276204513,-1.6764319392651,.407029077775824,.0694237893268761
GoNoGo Task,017,-12,6.00000000000001,1,3.80000000000001,9.69999999999999,1,6.3,4.4,10,3.30000000000001,7.10000000000001,1.8,7.90000000000001,5.6,1,10,6.90000000000001,-.31702636,.036362577,-.159410417,-1.07827819727206,.0626024188204607,.616692606180643,1.1768153193827
Finger Tapping Task,017,12,5.00000000000001,1,1,10,1,6,1.4,1,8.09999999999999,1.90000000000001,8.8,4.50000000000001,8,5,10,1.80000000000001,-.090963574,-.241336366,-.170440839,.0471398205033356,-.460580363058814,-.544083699297842,-.067523452496723
Finger Tapping Task,017,-9,8.50000000000001,10,2.70000000000001,9.99999999999998,1,6.20000000000001,6.6,2.50000000000002,5.20000000000001,1,3,4.7,6.7,10,10,4.9,-.090963574,-.241336366,-.170440839,-.309787624692267,.0899647126003881,1.11373549435587,-.973982080346723
Finger Tapping Task,017,-6,3,9,1.8,5.70000000000002,4.80000000000001,2.7,2.5,2.1,4,3.6,2.1,3,6.50000000000001,10,5,4.7,-.090963574,-.241336366,-.170440839,-.988316275096994,.553283213047688,-.409817946211126,-1.31158831150128
Movie Task-incept,017,7,3.5,4,7.79999999999999,5.4,1,4.1,2.1,5.4,4.20000000000001,6.00000000000001,2,3.10000000000001,3.1,5,2,1.9,-.293453447,.376771714,.156545561,-1.106922951347,-.232891723615176,-1.14026329296697,.471752032208679
Movie Task-incept,017,7,3.5,4,7.79999999999999,5.4,1,4.1,2.1,5.4,4.20000000000001,6.00000000000001,2,3.10000000000001,3.1,5,2,1.9,-.293453447,.376771714,.156545561,-1.106922951347,-.232891723615176,-1.14026329296697,.471752032208679
Movie Task-bridge,017,5,1,1,1,9.29999999999999,3,6.50000000000001,2.6,1.1,7,6.4,2,2.30000000000001,3.5,5.50000000000001,1,2.6,-.055046289,.280933569,.317858122,-1.35606058967179,-.309811747562902,-.690701145212976,-.357117356422006
Movie Task-bridge,017,5,1,1,1,9.29999999999999,3,6.50000000000001,2.6,1.1,7,6.4,2,2.30000000000001,3.5,5.50000000000001,1,2.6,-.055046289,.280933569,.317858122,-1.35606058967179,-.309811747562902,-.690701145212976,-.357117356422006
You Task,018,-9,3.00000000000002,1,7,4.80000000000001,3,1,10,5.30000000000002,1,10,5.00000000000001,5.30000000000002,10,5.30000000000001,10,10,-.068702623,.051618542,.14160951,-.124580231548779,.44937527992032,.101437500239644,.619176673764859
You Task,018,11,1,1,5.00000000000001,1,1,1,10,10,1,5.4,5.9,1,10,5.30000000000001,10,10,-.068702623,.051618542,.14160951,-1.13150214237246,-.0663055551313223,.142144400788006,.614021367557732
You Task,018,-10,5.30000000000001,1,5.4,1,1,1,10,5.60000000000001,1,5.70000000000001,5.9,1,10,5.10000000000001,10,10,-.068702623,.051618542,.14160951,-.451103467821752,-.266923882863301,.0301554504649092,.506628625512591
Friend Task,018,9,5.8,10,5.5,4.60000000000001,3.9,7.40000000000001,10,5.2,8.29999999999999,6.3,5.70000000000001,5.20000000000001,2.6,5.40000000000001,4.4,9.89999999999999,.066229557,.061472443,.208842324,-.474931998926149,-.179260483136117,1.52967293824673,.195679936889633
Friend Task,018,-6,6.1,10,8.8,10,10,6.9,10,1.4,5.6,8.29999999999999,6.10000000000001,5.8,10,6.99999999999999,10,10,.066229557,.061472443,.208842324,.518545035510029,1.38502609913106,1.20729743450794,.0753488005832232
Friend Task,018,5,6.1,10,9.49999999999999,10,10,10,10,1,10,5.80000000000001,10,10,10,9.4,10,10,.066229557,.061472443,.208842324,1.87302194159969,1.50747975312397,1.10005491356281,-.112632788734252
Movie Task-bridge,018,-7,5.50000000000002,2.30000000000001,6,1.9,5.40000000000001,5.5,2.6,4.5,5.40000000000002,2.9,5.40000000000001,2,2.1,8.9,10,5.2,-.055046289,.280933569,.317858122,-.270246543952618,.282882656067013,-.835276608170957,-.543300313478024
Movie Task-bridge,018,-7,5.50000000000002,2.30000000000001,6,1.9,5.40000000000001,5.5,2.6,4.5,5.40000000000002,2.9,5.40000000000001,2,2.1,8.9,10,5.2,-.055046289,.280933569,.317858122,-.270246543952618,.282882656067013,-.835276608170957,-.543300313478024
Movie Task-incept,018,-5,5.2,4.8,8.39999999999999,4.80000000000001,4.80000000000001,3.5,3.20000000000001,4.9,5.5,5.00000000000002,6.10000000000001,6.00000000000001,6.20000000000001,8,3.6,1.8,-.293453447,.376771714,.156545561,.306984906348071,.658369928604212,-1.48304598747494,.137338423615268
Movie Task-incept,018,-5,5.2,4.8,8.39999999999999,4.80000000000001,4.80000000000001,3.5,3.20000000000001,4.9,5.5,5.00000000000002,6.10000000000001,6.00000000000001,6.20000000000001,8,3.6,1.8,-.293453447,.376771714,.156545561,.306984906348071,.658369928604212,-1.48304598747494,.137338423615268
Zero-Back Task,018,11,10,1,9.69999999999999,5.30000000000001,1,9.69999999999998,1,1,1,5.60000000000002,9.49999999999999,10,8.49999999999999,9.09999999999999,8.49999999999999,5.7,.092938821,-.060981931,-.389395513,2.58072067423491,.955864802854212,-1.89748661372109,-.60279241395205
Zero-Back Task,018,-15,8.5,1.1,7.89999999999999,7.79999999999999,2.6,10,3.4,3.50000000000001,4.00000000000001,5.20000000000001,7.89999999999999,8.29999999999999,9,7.9,10,7.69999999999999,.092938821,-.060981931,-.389395513,1.62975900811487,.875984886944223,-.712942360265645,-.0125808136376213
Zero-Back Task,018,9,10,3.90000000000001,8.39999999999999,9.39999999999999,7.80000000000001,10,5.6,3.90000000000001,2.5,5.3,9,7.29999999999999,5.9,8.09999999999999,9.29999999999998,9.09999999999999,.092938821,-.060981931,-.389395513,1.67922320791064,.995168499086014,.12556361246719,-.472699037369208
One-Back Task,018,-13,7.79999999999999,1,9.79999999999998,2,1,10,1,1,1,7.3,9.79999999999999,10,4.90000000000001,9.5,3.7,10,-.009918255,-.030028992,-.537272264,2.63595127834761,.539513204238542,-1.87691274557823,-.898888964451768
One-Back Task,018,-15,7.89999999999999,2.1,8.49999999999999,6.80000000000001,1,10,2.1,2,2.50000000000001,6.1,7.19999999999999,4.70000000000001,4.1,7.10000000000001,2.6,5.3,-.009918255,-.030028992,-.537272264,1.00269754008144,.0509702633026262,-1.23354438310001,-.327846412644657
One-Back Task,018,13,8.59999999999999,2.2,9.8,8.19999999999999,6.49999999999999,8.49999999999999,7.9,4.3,5.50000000000001,7.19999999999999,8.6,9.3,8.4,8.99999999999999,8.49999999999999,9.2,-.009918255,-.030028992,-.537272264,1.97452590193205,1.22993914155994,-.153418241319976,.244357338394763
Hard Math Task,018,-10,9.99999999999998,3.60000000000002,9.4,6.30000000000001,9,2.4,2.5,4.60000000000001,3.7,9,9.9,10,8.89999999999999,9.79999999999999,5.6,9.9,-.275798122,.402380589,-.407389088,2.41265806766435,1.58073040031815,-1.2915086702588,.120449969258678
Hard Math Task,018,14,7.99999999999999,1.7,10,8.99999999999999,7.8,4.60000000000001,4.70000000000001,2,5.60000000000001,6.20000000000001,9.79999999999999,10,8.19999999999999,9.29999999999999,9,10,-.275798122,.402380589,-.407389088,2.45592483192936,.831526667276427,-.543576103392823,.115863159524437
Hard Math Task,018,15,7.49999999999999,3.2,8.59999999999999,6.5,7.79999999999999,8.50000000000001,4.30000000000001,5.60000000000001,5.50000000000002,7.69999999999999,9.39999999999998,8.79999999999999,9.1,9.39999999999998,5.5,10,-.275798122,.402380589,-.407389088,1.88656954664398,1.64318098601465,-.832871053814177,.0639526985998431
Easy Math Task,018,15,5.1,2.3,7.09999999999999,5.3,4.3,3.9,2.3,4,6.1,4.5,4.2,6.60000000000001,6.20000000000001,9.99999999999998,7.89999999999999,9.3,-.124954138,.332221971,-.020870498,.653739719303845,.467072890789596,-.715971422656218,-.10677984326516
Easy Math Task,018,10,7.20000000000001,4.2,5,6.1,6.20000000000001,2.9,4.2,6.50000000000001,6.40000000000001,7.00000000000001,6.99999999999999,4.7,6.2,8.29999999999999,7.60000000000001,5.00000000000001,-.124954138,.332221971,-.020870498,.0897591889591332,.938297013377274,-.515506236188527,.183839623485189
Easy Math Task,018,-7,6.10000000000001,6,4.5,6.99999999999999,8.2,4.2,6.50000000000001,8.1,7.60000000000001,6.30000000000001,5.7,6.1,5.70000000000001,7.09999999999999,5.7,5.7,-.124954138,.332221971,-.020870498,-.296281223252224,.98343475726625,.180373189508929,.328741500419089
Memory Task,018,12,6.89999999999999,10,8,9.79999999999999,8.39999999999999,10,10,9.1,7.9,9,6.1,4.90000000000002,8.19999999999999,3.60000000000002,10,10,-.036691414,.115884583,.323863964,-.544735686879713,1.39996050556517,1.86404207187382,1.25192009877263
Memory Task,018,6,7.39999999999999,10,7,9,8.3,10,9.99999999999998,8.99999999999999,7.30000000000001,6,4,5.90000000000001,10,6.4,10,9.99999999999999,-.036691414,.115884583,.323863964,-.338228266814623,1.67127812233789,1.60832590604043,.698758756913914
Memory Task,018,-9,8.19999999999999,10,9.9,6.99999999999999,10,9.89999999999999,9.99999999999998,4.7,6.99999999999999,7.1,9.4,6.7,7.19999999999999,4.60000000000001,9.59999999999999,10,-.036691414,.115884583,.323863964,.807640911573282,1.15585328312316,1.26220916123585,.555391696487558
Reading Task,018,7,8.3,10,8.79999999999999,10,9,9.19999999999999,9.2,4.60000000000001,5,7.9,8.99999999999999,8.89999999999999,10,5.9,8.59999999999999,10,-.19586954,-.014883893,.326889586,1.21447298990146,1.51170242155806,1.08597062256241,.269352368536472
Reading Task,018,8,8.79999999999999,9.09999999999999,8.49999999999999,8.69999999999999,8.39999999999999,10,9.4,5.9,4.9,7.79999999999999,7.5,9.5,8.99999999999999,6.3,7.19999999999999,9.39999999999999,-.19586954,-.014883893,.326889586,1.08184153627609,1.60528058234379,.870913285514421,.246780316074847
Reading Task,018,-11,8.2,9,9.39999999999998,5.9,10,10,10,7,8,6,9.9,8.09999999999999,9,7.09999999999999,9.49999999999999,10,-.19586954,-.014883893,.326889586,1.19466720528786,1.65856865059753,.874659481947402,.49134844630271
Two-Back Task-faces,018,-8,10,2.9,9.9,4.50000000000002,6.4,10,2.6,4.30000000000001,7.29999999999999,6.3,7.49999999999999,5.6,2.1,8,3.70000000000002,7.39999999999999,-.025340712,.386745896,-.434225517,1.26298830164223,.664243587888963,-.968964202136169,.205234554782829
Two-Back Task-faces,018,15,10,2.6,6.99999999999999,4.9,4.5,10,3.70000000000001,6.1,4,7.10000000000001,8.7,6.5,3,6.1,4.5,8.39999999999999,-.025340712,.386745896,-.434225517,1.07134284919801,.521047678995447,-.505800155104734,.0219902681621155
Two-Back Task-scenes,018,14,7.4,2.7,7.5,4.9,7.5,10,5.80000000000001,5.4,7.99999999999999,6.4,8.29999999999999,8,4.4,7.6,4.90000000000001,8.09999999999999,-.130999829,.464204275,-.426960277,1.18231874236476,.955393780830377,-.421673697040671,.135740554546522
Two-Back Task-scenes,018,13,6.79999999999999,2,5.10000000000002,5.10000000000001,6.5,10,10,5.8,8,4.7,8.19999999999999,6.69999999999999,6.79999999999999,6.20000000000001,4.90000000000001,9.89999999999999,-.130999829,.464204275,-.426960277,.789631099942644,.461399474948601,.404991518229529,.294705123156767
Finger Tapping Task,018,-9,9.2,3,8.09999999999999,7.89999999999999,6.8,5.90000000000001,5.50000000000002,6.10000000000001,8.89999999999999,6.70000000000001,8.89999999999999,7.99999999999999,4.00000000000001,6.2,8.89999999999999,4.80000000000001,-.090963574,-.241336366,-.170440839,.947358210042831,.650847522600333,-.117221862934091,.827858157535513
Finger Tapping Task,018,-8,2.60000000000002,3.4,3.90000000000002,2.9,2.9,3.80000000000001,2.90000000000001,4.20000000000001,4.6,4.40000000000001,3.50000000000002,2,7.9,5.8,3.20000000000002,1.9,-.090963574,-.241336366,-.170440839,-1.101427138955,.288201105019963,-1.48683123354598,-.00900841960466523
Finger Tapping Task,018,-8,2,1.4,1.8,2.2,2,1.40000000000001,1.9,3.1,1.70000000000001,3,2.6,2.2,1.7,6.7,2.80000000000001,2.00000000000002,-.090963574,-.241336366,-.170440839,-1.26130257687161,-.675949778601583,-1.42593717330226,-1.00668289991996
GoNoGo Task,018,8,1.4,1.2,2.80000000000002,2.50000000000002,1.1,1.1,1.50000000000001,1.80000000000002,2.7,2.5,2.2,1.5,2.70000000000001,5.7,1.30000000000001,2.90000000000001,-.31702636,.036362577,-.159410417,-1.25464332391435,-1.09086880737233,-1.49097945949974,-.626601821372682
GoNoGo Task,018,11,1.1,1.3,1.9,1.7,2.20000000000001,2,1.2,4.30000000000002,1.2,2.70000000000001,2,1.2,1.50000000000001,5.40000000000001,2,2,-.31702636,.036362577,-.159410417,-1.68838736501498,-.735408151006797,-1.50636729469189,-.834985005933833
GoNoGo Task,018,-6,1.90000000000002,1.50000000000001,1.60000000000002,1.7,1.7,2.00000000000001,2.00000000000002,1.7,2.00000000000002,2.50000000000001,1,1.3,1.5,5.1,1.70000000000001,1.80000000000001,-.31702636,.036362577,-.159410417,-1.64039641550976,-.988743477949585,-1.38808459234233,-.881036555032363
Two-Back Task-scenes,sub026,-7,2.3,3.40000000000001,6.89999999999999,2.1,1.6,9.29999999999999,9,5.6,7.59999999999999,3.4,5.50000000000001,2,7.10000000000001,4,2.2,1.40000000000002,-.130999829,.464204275,-.426960277,-.968859451731478,-.0501630758440031,-.722407203102025,.688618958810871
Two-Back Task-scenes,sub026,-9,3.2,4.00000000000001,4.4,4.00000000000001,3.10000000000002,9.29999999999998,8,4.7,8,3.20000000000001,7.10000000000001,3.60000000000001,3,5,3.20000000000001,8.39999999999999,-.130999829,.464204275,-.426960277,-.367240134637234,-.644974813008348,.509866480268124,.00799373302693375
Two-Back Task-faces,sub026,5,4,5,6.79999999999999,3,3.00000000000001,8.39999999999999,3.80000000000001,3,5.9,3.90000000000001,9,2.2,3.4,4.7,1.8,4.70000000000001,-.025340712,.386745896,-.434225517,-.0649292439912915,-.445488813521093,-.806363418978504,-.0897359375715035
Two-Back Task-faces,sub026,8,5.10000000000001,4,9,5.80000000000001,2,10,3.5,4.70000000000001,8.4,3.5,5.5,3.1,4.60000000000001,3,3.20000000000001,8,-.025340712,.386745896,-.434225517,-.217967284092819,-.612977661594382,-.140533342757468,1.07625292606618
Movie Task-bridge,sub026,9,3.20000000000002,3.40000000000001,3.00000000000001,2.3,7,6.79999999999999,4.70000000000001,4,2.20000000000002,2.20000000000001,4.2,3.20000000000001,6.4,4.20000000000001,2.9,4,-.055046289,.280933569,.317858122,-.834934202389779,.284067875531236,-1.00609103524054,-.626450614634632
Movie Task-bridge,sub026,9,3.20000000000002,3.40000000000001,3.00000000000001,2.3,7,6.79999999999999,4.70000000000001,4,2.20000000000002,2.20000000000001,4.2,3.20000000000001,6.4,4.20000000000001,2.9,4,-.055046289,.280933569,.317858122,-.834934202389779,.284067875531236,-1.00609103524054,-.626450614634632
Movie Task-incept,sub026,7,3.90000000000002,4.50000000000001,1.5,2.5,9,4,3.60000000000001,4.00000000000001,5,2.3,2.9,3.6,6.30000000000001,7.09999999999999,4.2,1.2,-.293453447,.376771714,.156545561,-1.01890185878783,.891594135851421,-1.27624539615401,-.810389095373314
Movie Task-incept,sub026,7,3.90000000000002,4.50000000000001,1.5,2.5,9,4,3.60000000000001,4.00000000000001,5,2.3,2.9,3.6,6.30000000000001,7.09999999999999,4.2,1.2,-.293453447,.376771714,.156545561,-1.01890185878783,.891594135851421,-1.27624539615401,-.810389095373314
One-Back Task,sub026,11,2,1.10000000000002,5.5,9.39999999999999,6.99999999999999,8.99999999999999,7.40000000000001,1.8,7.69999999999999,2.2,8.19999999999999,2.1,6,5.7,5.4,2,-.009918255,-.030028992,-.537272264,-.142108370154047,-.0687253449636131,-.343604952355011,-.123888437918599
One-Back Task,sub026,13,8,2.1,6.2,8.7,8.69999999999999,8.79999999999999,7.59999999999999,5.1,7.49999999999999,3.5,6.3,7.1,9,6.1,4.10000000000001,7.9,-.009918255,-.030028992,-.537272264,.904315261224117,.761642479704047,-.0733500897850215,.504447402261843
One-Back Task,sub026,-12,4.4,2.70000000000002,7.70000000000001,10,7.20000000000001,8.79999999999999,4,4.4,5.10000000000002,4.2,5.7,3.7,5.7,7.10000000000001,3.50000000000002,2.3,-.009918255,-.030028992,-.537272264,.0499853036503485,.690460994250212,-.903579956246513,-.0741007575692863
Zero-Back Task,sub026,-11,3.9,2.7,4.4,5.20000000000002,3,9.3,4,4.3,6,4.60000000000001,5,5.40000000000002,6.80000000000001,5,3.00000000000002,3.5,.092938821,-.060981931,-.389395513,-.305323598349837,.373813351711533,-.935945265099505,.0393565825119395
Zero-Back Task,sub026,-8,5.40000000000002,2,4.4,6.2,6.00000000000001,6,4,6.3,5.9,5,4.20000000000001,4.7,8.59999999999999,2.90000000000001,6,6.50000000000001,.092938821,-.060981931,-.389395513,-.565054821494397,.457598772189714,-.438891868826434,.842201063424871
Zero-Back Task,sub026,-9,9,1.90000000000002,3,3,2,8.40000000000001,4,6,3.6,7,4,6.10000000000001,6.89999999999999,2.40000000000002,6.70000000000001,8,.092938821,-.060981931,-.389395513,-.290884305939759,.399036062299685,-.34380229306058,.503800712372371
You Task,sub026,-5,5.50000000000002,3.50000000000001,3.60000000000001,7.00000000000001,3.80000000000001,2.10000000000002,6,2.9,7.49999999999999,4,5.40000000000002,4.80000000000001,2.4,6.79999999999999,8.99999999999999,9,-.068702623,.051618542,.14160951,-.170955495892352,-.781362830997929,.813720685305213,-.0554933887869328
You Task,sub026,9,4.50000000000002,5.50000000000002,2.8,8,3.9,3.00000000000001,8,2,3.7,2.7,5.2,4,4.80000000000001,6.5,8.89999999999999,6.4,-.068702623,.051618542,.14160951,-.480577922128565,-.564944221675931,.874756980886555,-.696669958349106
You Task,sub026,10,3.1,4.3,6.3,9,3,5.40000000000002,7.00000000000001,6.10000000000001,4,6.90000000000001,5.4,5.60000000000001,3,7,5.1,5.9,-.068702623,.051618542,.14160951,-.316361174255333,.00368014884120633,.346200279969875,-.092899137639194
Friend Task,sub026,11,7,9,6,9,3,3,7,4,2,6,8.9,10,4.8,9.29999999999999,3.70000000000001,5.5,.066229557,.061472443,.208842324,1.18423746788174,.232130385451946,.211709986741297,-.89944463451409
Friend Task,sub026,11,6,8.29999999999999,5.2,4.1,2.7,1.9,8.59999999999999,6.40000000000001,3.5,5.80000000000001,8,3,4.20000000000001,7.19999999999999,3.2,6.89999999999999,.066229557,.061472443,.208842324,-.290672764509964,-.273211470448095,.418776025602029,-.180991947536458
Friend Task,sub026,-11,5,7.69999999999999,4,6.00000000000001,3.2,3.90000000000001,5.00000000000001,7.90000000000001,4.3,2.5,7,6,4,6.1,3.2,8,.066229557,.061472443,.208842324,-.222338947771978,-.41611204520975,.438111647464071,-.196632277143697
Easy Math Task,sub026,-7,4,3.30000000000001,5,7,9,4.20000000000001,5.5,6,9,6,6.1,5.20000000000001,8,1,4,10,-.124954138,.332221971,-.020870498,-.436840561536275,.0446663119816095,.276541968440704,1.43729711428091
Easy Math Task,sub026,14,4,6,6,6.7,10,4.40000000000001,6.5,8,7,2,8,2,2,1.6,9,4,-.124954138,.332221971,-.020870498,-1.2190997363489,-.304925599479321,.738858088171594,.683493002311966
Easy Math Task,sub026,-10,7,7,6.5,8,6.30000000000001,3,9,9.29999999999999,9,5.6,7.7,6,5,1.80000000000001,6.2,7.1,-.124954138,.332221971,-.020870498,-.474576656728061,-.232626620057183,1.23868515309459,1.61666307803397
Hard Math Task,sub026,15,5.10000000000001,3,8,9,5.80000000000001,4.70000000000001,10,7.50000000000001,3,6.10000000000001,3.6,5,2,2,7.30000000000001,2.5,-.275798122,.402380589,-.407389088,-1.0418943421563,-.189864225861455,.637153627891949,.814040968696829
Hard Math Task,sub026,-14,4,3,7.4,2,6.30000000000001,5,5.9,8,5.8,4.50000000000001,8,10,3,5.4,3,6,-.275798122,.402380589,-.407389088,.600859140759615,.234563070534274,-.757793765400239,.266908685059571
Hard Math Task,sub026,-12,5.50000000000002,4,6.70000000000001,4.4,4,1.7,8.00000000000001,7.59999999999999,3.5,5.9,7.30000000000001,2,5.1,1,4,7,-.275798122,.402380589,-.407389088,-.81596790190898,-.749424514494898,.231686808638452,1.18161054298117
