Task_name,Participant#,Runtime_mod,Absorption_response,Other_response,Problem_response,Words_response,Sounds_response,Images_response,Past_response,Distracting_response,Focus_response,Intrusive_response,Deliberate_response,Detailed_response,Future_response,Emotion_response,Self_response,Knowledge_response,Gradient1,Gradient2,Gradient3,FAC1_1,FAC2_1,FAC3_1,FAC4_1
Friend Task,subject023,7,3.9,9.59999999999998,2.50000000000002,3,2.5,8.49999999999999,7.8,2.1,2.00000000000002,2.8,1.8,9.19999999999999,3.1,5.60000000000001,2,9.6,.066229557,.061472443,.208842324,-.370040422877299,-.344060020640434,.831710400909754,-1.37601258947208
Friend Task,subject023,8,2.10000000000001,10,1,3.3,10,10,10,2.2,1,2.4,10,9.39999999999999,1,5.5,7.59999999999999,10,.066229557,.061472443,.208842324,.297388649089357,.174468208092669,1.49524772577246,-2.37541582564435
Friend Task,subject023,9,10,10,1.6,9,9.29999999999999,10,9.39999999999999,7.79999999999999,1.6,8.69999999999999,4.80000000000001,8.9,2.00000000000001,5.7,8.49999999999999,9.9,.066229557,.061472443,.208842324,-.229630451599907,1.36395920536621,2.03136825162867,-.960732102046215
You Task,subject023,11,8.79999999999999,2,2.80000000000001,8.79999999999999,8,8.89999999999999,10,1.70000000000001,2.40000000000001,8.29999999999999,2.70000000000001,3,2.00000000000001,2.30000000000001,10,10,-.068702623,.051618542,.14160951,-.727023681079066,.0137069338268984,1.58368791214736,-.214440226091002
You Task,subject023,7,10,2.20000000000002,1.5,8.49999999999999,10,10,9.59999999999998,9.09999999999999,1,8.79999999999999,3,2.2,7.40000000000001,1.8,10,9.79999999999999,-.068702623,.051618542,.14160951,-1.17311913072573,1.37127155022651,1.26861387476021,.396966049768908
You Task,subject023,5,9.19999999999999,9.09999999999999,9.79999999999998,8.29999999999999,10,10,9.39999999999999,10,8.59999999999999,8.79999999999999,3.2,8,8,1.90000000000001,10,6,-.068702623,.051618542,.14160951,-.560273953836802,1.89229971770547,1.13690629123521,1.83589661456403
Movie Task-incept,subject023,15,1,3,1,10,8.99999999999999,8.69999999999999,9,1,1,9,2,8.99999999999999,1,5.7,8.7,8,-.293453447,.376771714,.156545561,-.626692643270236,.6676545448594,1.16833585524653,-1.64140730056735
Movie Task-incept,subject023,15,1,3,1,10,8.99999999999999,8.69999999999999,9,1,1,9,2,8.99999999999999,1,5.7,8.7,8,-.293453447,.376771714,.156545561,-.626692643270236,.6676545448594,1.16833585524653,-1.64140730056735
Movie Task-bridge,subject023,13,1.50000000000001,2.10000000000002,1,9.29999999999998,10,9.3,2.30000000000002,1,1.00000000000001,5.2,2.4,6.2,1,6.80000000000001,3.10000000000001,1.20000000000002,-.055046289,.280933569,.317858122,-.706299354257363,.837638427944081,-.928352299792737,-1.97636630381062
Movie Task-bridge,subject023,13,1.50000000000001,2.10000000000002,1,9.29999999999998,10,9.3,2.30000000000002,1,1.00000000000001,5.2,2.4,6.2,1,6.80000000000001,3.10000000000001,1.20000000000002,-.055046289,.280933569,.317858122,-.706299354257363,.837638427944081,-.928352299792737,-1.97636630381062
Finger Tapping Task,subject023,-6,10,8.29999999999999,9,10,9.79999999999999,10,10,10,9.29999999999998,10,1.2,10,9.79999999999999,2.40000000000002,10,10,-.090963574,-.241336366,-.170440839,-.278875975539285,2.04366439992076,1.62011052391509,2.06224452500017
Finger Tapping Task,subject023,-14,9,9.19999999999998,10,9.69999999999998,10,9.89999999999999,10,9.49999999999999,10,10,3,1,10,2.60000000000001,10,10,-.090963574,-.241336366,-.170440839,-1.15799123394083,1.71031053124466,1.69925137522321,2.2729189678788
Finger Tapping Task,subject023,6,9.69999999999998,8.9,10,10,9.79999999999999,9,9.4,10,10,9.59999999999998,2,10,10,2.8,10,10,-.090963574,-.241336366,-.170440839,-.115123579712027,1.96800447541048,1.51866174410574,2.18870248056379
GoNoGo Task,subject023,9,1,1.70000000000001,1,1,1.40000000000001,1,1,6,9,1.3,5.1,1,1,5.4,1,1,-.31702636,.036362577,-.159410417,-1.67265767213708,-1.17740153613276,-1.35925737553663,.0543801359945418
GoNoGo Task,subject023,12,8.99999999999999,6.90000000000001,8.79999999999999,10,8.49999999999999,9,9.3,2.2,9.59999999999999,7.59999999999999,2.20000000000001,2,9.19999999999998,3.2,4.8,9,-.31702636,.036362577,-.159410417,-.408483693822486,.655172447586023,.974564696312581,1.47581744796342
GoNoGo Task,subject023,9,1,1,1,1,2.3,1,1,1,1,3.4,1,1,2,6.2,1.3,1,-.31702636,.036362577,-.159410417,-1.63265648857427,-.685320259746213,-1.899011667137,-1.2259509598062
One-Back Task,subject023,15,3.3,1,8.99999999999999,10,1.9,7.49999999999999,1,1,9.49999999999999,2.5,10,3,2.6,6.00000000000001,1,1.90000000000002,-.009918255,-.030028992,-.537272264,.67683867868226,-1.09423782573167,-1.2680382660545,.407263744009032
One-Back Task,subject023,-10,10,1,9.89999999999999,9.99999999999999,9,10,1.5,1,10,3.20000000000002,10,9,1,6,1,4,-.009918255,-.030028992,-.537272264,2.14767674949717,-.062986568599432,-1.16995364840784,.313172784799899
One-Back Task,subject023,-10,8.59999999999999,1.60000000000002,10,8.69999999999999,9.5,10,2.5,1,9,2.20000000000001,8.89999999999999,10,8.1,5.00000000000001,1,8.69999999999999,-.009918255,-.030028992,-.537272264,2.34894190682769,.310562760230024,-1.10750652008658,.656128444478154
Zero-Back Task,subject023,15,9,10,2.90000000000002,2.4,9.59999999999998,9.69999999999999,9.69999999999998,8.39999999999999,2.30000000000001,10,2.80000000000001,9,2.80000000000001,3.20000000000001,2.70000000000001,10,.092938821,-.060981931,-.389395513,-.633868959694771,1.45593951433947,1.08984595831008,-.321302507341261
Zero-Back Task,subject023,11,9.89999999999999,9,1,2.2,10,10,10,9.59999999999998,1.3,9.09999999999999,2.2,9.49999999999999,2.80000000000002,6.7,2.80000000000001,10,.092938821,-.060981931,-.389395513,-.394598467614468,1.92390422297741,.930258155075496,-1.03363696672667
Zero-Back Task,subject023,-14,10,9.59999999999999,1,2.30000000000001,9.89999999999999,9.59999999999999,10,10,1.30000000000001,9.89999999999998,2.4,8.89999999999999,1,9.49999999999999,10,9,.092938821,-.060981931,-.389395513,-.55489639192873,2.39981917660763,1.32522546096883,-1.50169033233494
Reading Task,subject023,-5,9.39999999999999,1.6,2.30000000000002,8.29999999999999,9.29999999999999,10,8.69999999999999,3.7,1.40000000000001,8.99999999999999,2.2,8.3,2.7,5.20000000000002,8.79999999999999,9.69999999999999,-.19586954,-.014883893,.326889586,.0937860133104559,1.08517046814025,.921493358712745,-.753041180060371
Reading Task,subject023,13,9.09999999999999,8,1,10,9.49999999999998,9.59999999999999,10,10,4,9.29999999999999,9.39999999999999,3,8.49999999999999,7.59999999999999,8.59999999999999,9.79999999999999,-.19586954,-.014883893,.326889586,-.199377749025305,1.93011944684009,1.56200503489256,-.335189662900469
Reading Task,subject023,13,9.79999999999999,6.20000000000001,1.1,10,9.69999999999999,10,8.79999999999999,8.99999999999999,1.1,9.19999999999999,10,9.99999999999999,8.49999999999999,8.99999999999999,9.29999999999999,10,-.19586954,-.014883893,.326889586,1.16887457383944,2.34403904085487,.982597972496604,-1.07130191181558
Memory Task,subject023,14,10,9.69999999999999,1.3,9.5,9.59999999999999,9.89999999999999,10,1.4,2.70000000000001,2,9.2,8.69999999999999,1.9,9.69999999999998,9.99999999999998,9.99999999999999,-.036691414,.115884583,.323863964,1.23793827999298,.472916395463833,1.99035316099606,-2.27834749376959
Memory Task,subject023,-5,9.09999999999999,9.39999999999998,10,9,8.79999999999999,9.79999999999999,10,10,1.8,9.89999999999999,8.79999999999999,9.79999999999999,1.6,7.79999999999999,8.69999999999999,9.99999999999998,-.036691414,.115884583,.323863964,1.01521835678262,1.54317465103951,1.46286615022257,-.235534900776765
Memory Task,subject023,14,10,9.19999999999998,1,8.29999999999999,10,9.49999999999999,9.19999999999999,1.3,1,5.5,9.19999999999998,9.29999999999998,1.8,10,9.59999999999999,8.7,-.036691414,.115884583,.323863964,1.24731097312727,1.08884073119042,1.4079198676143,-2.48104063413721
Two-Back Task-faces,subject023,9,8.59999999999999,2.10000000000001,10,10,9.79999999999998,10,8.29999999999999,1.00000000000001,10,6.7,10,8.79999999999999,8.1,5.70000000000001,3.5,9.29999999999999,-.025340712,.386745896,-.434225517,2.16586319557848,.673028280613901,-.058033120540485,.849694837910386
Two-Back Task-faces,subject023,-7,8.59999999999999,1,10,9.29999999999999,9.59999999999998,8.79999999999999,8.49999999999999,1.5,10,10,10,9.69999999999998,9.09999999999999,5,2.6,10,-.025340712,.386745896,-.434225517,2.23058132858148,.954041410193798,-.298381556495544,1.25006535158522
Two-Back Task-scenes,subject023,-8,10,1,9.69999999999998,7.79999999999999,10,7.39999999999999,9.09999999999999,1.8,9,1,1.9,10,9.29999999999998,5.40000000000001,7,9.49999999999999,-.130999829,.464204275,-.426960277,1.37689297936587,.426848156990122,.115339064555929,1.02202541016491
Two-Back Task-scenes,subject023,-12,9.59999999999999,1.10000000000002,9.59999999999999,8.29999999999999,7,7,9,2.00000000000001,9.39999999999998,9,3,10,7.89999999999999,5.3,7.9,5,-.130999829,.464204275,-.426960277,.963088436352479,1.09785515093448,-.238450291861045,1.30709347153037
Easy Math Task,subject023,12,10,10,9.2,8.89999999999999,8.89999999999999,9.79999999999998,10,10,7.3,10,1.30000000000001,8.59999999999999,10,5.9,8.79999999999999,10,-.124954138,.332221971,-.020870498,-.140899985053046,2.35547350211925,1.34838813382425,1.33100911053341
