,Component 0,Component 1,Component 2,Component 3
Absorption_response,0.115,0.132,0.363,-0.014
Other_response,0.323,0.069,-0.176,0.296
Problem_response,-0.236,0.24,0.509,-0.147
Words_response,0.109,-0.003,0.081,0.284
Sounds_response,-0.192,0.129,-0.05,0.588
Images_response,-0.076,-0.021,0.029,0.486
Past_response,0.551,-0.008,0.03,-0.006
Distracting_response,0.096,0.518,-0.102,-0.021
Focus_response,0.016,0.396,0.147,-0.139
Intrusive_response,0.074,0.441,-0.058,0.101
Deliberate_response,-0.082,-0.174,0.474,0.092
Detailed_response,0.107,-0.075,0.438,0.178
Future_response,-0.092,0.359,0.146,0.212
Emotion_response,0.177,-0.274,0.1,0.311
Self_response,0.423,0.183,-0.071,0.003
Knowledge_response,0.466,-0.094,0.282,-0.126
