,0,1,2,3,Task_name,Participant #,Gradient 1,Gradient 2,Gradient 3
0,1.3026003685308938,-1.5230244138523132,-1.1576229584319608,-0.4028531010177907,You Task,017,-0.04060155881180664,-0.0045790296836542045,0.10477175581518
1,2.0150000939112314,-0.5149070737202436,-1.332579719361385,0.017581799083857486,You Task,017,-0.04060155881180664,-0.0045790296836542045,0.10477175581518
2,0.64431825244727,-1.6782459313695979,-0.7958680621062677,-0.6243001274098674,You Task,017,-0.04060155881180664,-0.0045790296836542045,0.10477175581518
3,1.2020144643694122,-1.6018107134081043,0.3244146188167244,1.1780934025874894,Friend Task,017,0.07421679534351436,0.038296361143323535,0.17277209853995346
4,1.8738515410585053,-1.9446839315396391,0.013647538592899133,1.186023502202455,Friend Task,017,0.07421679534351436,0.038296361143323535,0.17277209853995346
5,0.5493218465733385,-1.5932880675284804,0.47068669917243433,0.5983716867409969,Friend Task,017,0.07421679534351436,0.038296361143323535,0.17277209853995346
6,1.123657968816926,-1.0284495357221504,2.7504985740734655,0.971023219809303,Two-Back Task-faces,017,-0.025340712,0.386745896,-0.434225517
7,1.2235519184329893,0.06609616053388644,3.547110412844749,0.5279271686089311,Two-Back Task-faces,017,-0.025340712,0.386745896,-0.434225517
8,-0.5223115553587765,-0.03167222042848496,3.425870944262401,-0.4007838129461774,Two-Back Task-scenes,017,-0.130999829,0.464204275,-0.426960277
9,0.5308545454513441,-0.6109753081431417,3.271517257474454,0.09635378431911548,Two-Back Task-scenes,017,-0.130999829,0.464204275,-0.426960277
10,0.5507176101672955,-0.7511321371092275,3.017347213552861,-2.4365934769777646,Easy Math Task,017,-0.10929721416380254,0.2646614340036037,0.02825588930658024
11,2.2800669819651382,2.957540759753401,1.3001416603526958,-0.8570162275940959,Easy Math Task,017,-0.10929721416380254,0.2646614340036037,0.02825588930658024
12,0.28143260399258974,-1.1767256785159363,3.404435254049261,-1.9127458896137968,Easy Math Task,017,-0.10929721416380254,0.2646614340036037,0.02825588930658024
13,-0.43578045169537,-0.6717881629679295,3.2715227676908745,-2.510124807719855,Hard Math Task,017,-0.27055363723796066,0.30870050683227407,-0.35795457432609923
14,0.7675729558866117,1.5914911627534765,0.7188985213969226,-1.1843919851804179,Hard Math Task,017,-0.27055363723796066,0.30870050683227407,-0.35795457432609923
15,0.7654600010553325,-0.6797340982274819,3.4734105691264547,-1.8336285040758387,Hard Math Task,017,-0.27055363723796066,0.30870050683227407,-0.35795457432609923
16,1.0742255805344425,-1.6023962112272327,-0.9020907192309737,-1.2146867394554324,Reading Task,017,-0.19025494571096271,-0.11159110767354706,0.29739872338729373
17,0.7866903227585795,-2.1223633314419343,-1.3565615765815897,0.2941201186752773,Reading Task,017,-0.19025494571096271,-0.11159110767354706,0.29739872338729373
18,0.5633667729614563,-1.6997275251840707,-0.5601285933055044,-0.6269358574342349,Reading Task,017,-0.19025494571096271,-0.11159110767354706,0.29739872338729373
19,2.700510948900982,-2.117877369890689,-0.22299050568352985,2.295279043619316,Memory Task,017,-0.03001346209284081,0.08286444927231283,0.25775227339260015
20,1.750669515060755,-0.25377088560491984,1.517934268706151,0.7783245134488685,Memory Task,017,-0.03001346209284081,0.08286444927231283,0.25775227339260015
21,0.7114072406364018,1.0500119057293145,-0.22194001895781557,-0.4716225859305499,Memory Task,017,-0.03001346209284081,0.08286444927231283,0.25775227339260015
22,-0.4226796679063949,-1.1495165343078413,3.294536598839208,-0.9405762436758078,One-Back Task,017,-0.009918255,-0.030028992,-0.537272264
23,0.3541562413599182,-1.6990815681808311,3.2630936505452524,-1.3683166396590525,One-Back Task,017,-0.009918255,-0.030028992,-0.537272264
24,-0.44914732564308657,-0.9344808152441976,3.5528957554067713,-1.0105688511255198,One-Back Task,017,-0.009918255,-0.030028992,-0.537272264
25,0.6574611134222916,0.9872539308041275,0.012963139260537548,-0.9116722754137969,Zero-Back Task,017,0.092938821,-0.060981931,-0.389395513
26,0.2396664907572717,-0.14555378201502953,-1.1149048296999993,-0.31186953716735744,Zero-Back Task,017,0.092938821,-0.060981931,-0.389395513
27,-0.5522511336509094,0.7912738140177273,-2.733873007898798,-0.7873568923028567,Zero-Back Task,017,0.092938821,-0.060981931,-0.389395513
28,-0.9594526258207936,1.3369811662672977,-1.959206810432667,-1.6395534935436336,GoNoGo Task,017,-0.31377627377851647,-0.10807256589486487,-0.11954409837259196
29,-0.08893030856441919,-1.6977886860043803,2.266948380238982,-0.8877264352552957,GoNoGo Task,017,-0.31377627377851647,-0.10807256589486487,-0.11954409837259196
30,0.5733011913076724,1.920222261637042,-0.8257189987354824,-0.9472069701578723,GoNoGo Task,017,-0.31377627377851647,-0.10807256589486487,-0.11954409837259196
31,-1.1211312959624966,-0.4712414618650671,-0.32530109926791595,-0.24304538360454792,Finger Tapping Task,017,-0.024346777834724283,-0.24823456956514364,-0.2097403513270307
32,1.7465342169681333,-0.7334267338253279,-0.6812115959810677,0.8393536460150081,Finger Tapping Task,017,-0.024346777834724283,-0.24823456956514364,-0.2097403513270307
33,-0.2043493867699428,-0.898807510157779,-2.172937369318521,0.6378296773977056,Finger Tapping Task,017,-0.024346777834724283,-0.24823456956514364,-0.2097403513270307
34,-1.935193746761848,0.3913105657376298,-1.5522159464081642,-1.3296530781318316,Movie Task-incept,017,-0.293453447,0.376771714,0.156545561
35,-1.935193746761848,0.3913105657376298,-1.5522159464081642,-1.3296530781318316,Movie Task-incept,017,-0.293453447,0.376771714,0.156545561
